Bound type, bound value, parameter (k/m)
hudson_overlap,51,
RecMin,85,
RecMinRobust,62,
hudson_nonoverlap,33,
robust_hudson,20,2
robust_hudson,14,3
robust_hudson,12,4
strong_hudson,14,2
strong_hudson,7,3
strong_hudson,5,4
adversarial_hudson,51,0
adversarial_hudson,49,1
adversarial_hudson,47,2
adversarial_hudson,45,3
adversarial_hudson,44,4
adversarial_hudson,42,5
random_adversarial_hudson,51,0
random_adversarial_hudson,49,1
random_adversarial_hudson,47,2
random_adversarial_hudson,46,3
random_adversarial_hudson,44,4
random_adversarial_hudson,44,5
random_adversarial_hudson,43,6
random_adversarial_hudson,41,7
random_adversarial_hudson,41,8
random_adversarial_hudson,40,9
random_adversarial_hudson,39,10
