Bound type, bound value, parameter (k/m)
hudson_overlap,34,
RecMin,53,
RecMinRobust,33,
hudson_nonoverlap,23,
robust_hudson,14,2
robust_hudson,10,3
robust_hudson,7,4
strong_hudson,9,2
strong_hudson,6,3
strong_hudson,3,4
adversarial_hudson,34,0
adversarial_hudson,32,1
adversarial_hudson,30,2
adversarial_hudson,28,3
adversarial_hudson,26,4
adversarial_hudson,24,5
random_adversarial_hudson,34,0
random_adversarial_hudson,32,1
random_adversarial_hudson,30,2
random_adversarial_hudson,28,3
random_adversarial_hudson,27,4
random_adversarial_hudson,25,5
random_adversarial_hudson,24,6
random_adversarial_hudson,23,7
random_adversarial_hudson,23,8
random_adversarial_hudson,20,9
random_adversarial_hudson,21,10
