Bound type, bound value, parameter (k/m)
hudson_overlap,186,
RecMin,374,
RecMinRobust,268,
hudson_nonoverlap,149,
robust_hudson,83,2
robust_hudson,63,3
robust_hudson,49,4
strong_hudson,34,2
strong_hudson,17,3
strong_hudson,12,4
adversarial_hudson,186,0
adversarial_hudson,184,1
adversarial_hudson,182,2
adversarial_hudson,180,3
