Bound type, bound value, parameter (k/m)
hudson_overlap,8,
RecMin,9,
RecMinRobust,5,
hudson_nonoverlap,4,
robust_hudson,2,2
robust_hudson,2,3
robust_hudson,1,4
strong_hudson,2,2
strong_hudson,1,3
strong_hudson,0,4
adversarial_hudson,8,0
adversarial_hudson,6,1
adversarial_hudson,4,2
adversarial_hudson,3,3
adversarial_hudson,2,4
adversarial_hudson,2,5
random_adversarial_hudson,8,0
random_adversarial_hudson,6,1
random_adversarial_hudson,4,2
random_adversarial_hudson,3,3
random_adversarial_hudson,2,4
random_adversarial_hudson,2,5
random_adversarial_hudson,0,6
