Bound type, bound value, parameter (k/m)
hudson_overlap,72,
RecMin,136,
RecMinRobust,97,
hudson_nonoverlap,52,
robust_hudson,29,2
robust_hudson,21,3
robust_hudson,16,4
strong_hudson,17,2
strong_hudson,9,3
strong_hudson,6,4
adversarial_hudson,72,0
adversarial_hudson,70,1
adversarial_hudson,68,2
adversarial_hudson,66,3
adversarial_hudson,64,4
adversarial_hudson,62,5
random_adversarial_hudson,72,0
random_adversarial_hudson,70,1
random_adversarial_hudson,69,2
random_adversarial_hudson,67,3
random_adversarial_hudson,65,4
random_adversarial_hudson,65,5
random_adversarial_hudson,63,6
random_adversarial_hudson,63,7
random_adversarial_hudson,62,8
random_adversarial_hudson,60,9
random_adversarial_hudson,60,10
