Bound type, bound value, parameter (k/m)
hudson_overlap,0,
RecMin,0,
RecMinRobust,0,
hudson_nonoverlap,0,
robust_hudson,0,2
strong_hudson,0,2
adversarial_hudson,0,0
random_adversarial_hudson,0,0
