recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
9,0,0,485285640,0.5,1,1
7,1,0,1672023217,0.5,1,1
12,0,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,2,0,1672023217,0.5,1,1
13,1,0,451181880,0.5,1,1
11,0,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,0,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,2,0,1672023217,0.5,1,1
8,0,1,451181880,0.5,1,1
11,0,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,2,0,1672023217,0.5,1,1
13,1,0,451181880,0.5,1,1
11,0,2,1670804219,0.5,1,1
10,1,0,1014,0.5,1,1
8,0,1,485285640,0.5,1,1
8,0,1,1672023217,0.5,1,1
10,0,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
11,0,1,1014,0.5,1,1
10,1,0,485285640,0.5,1,1
10,0,0,1672023217,0.5,1,1
13,0,0,451181880,0.5,1,1
12,0,1,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
10,0,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
7,2,1,451181880,0.5,1,1
9,5,4,1670804219,0.5,1,1
10,0,2,1014,0.5,1,1
10,0,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
15,1,0,451181880,0.5,1,1
13,0,2,1670804219,0.5,1,1
10,0,2,1014,0.5,1,1
10,0,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
13,0,0,451181880,0.5,1,1
13,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
12,0,0,485285640,0.5,1,1
10,1,0,1672023217,0.5,1,1
13,0,0,451181880,0.5,1,1
11,5,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
8,0,1,451181880,0.5,1,1
8,0,3,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
12,0,0,485285640,0.5,1,1
10,1,0,1672023217,0.5,1,1
9,0,1,451181880,0.5,1,1
11,5,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
4,2,3,973,0.5,1,1
3,1,8,821459744,0.5,1,1
7,3,4,979655734,0.5,1,1
5,7,0,39021707,0.5,1,1
6,5,3,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
7,1,5,555013701,0.5,1,1
4,3,5,445975878,0.5,1,1
7,0,4,1019038148,0.5,1,1
6,6,3,1991948354,0.5,1,1
3,5,5,973,0.5,1,1
4,1,6,821459744,0.5,1,1
5,6,5,979655734,0.5,1,1
7,6,0,39021707,0.5,1,1
8,1,2,80524421,0.5,1,1
4,1,6,688020399,0.5,1,1
7,0,6,555013701,0.5,1,1
5,2,6,445975878,0.5,1,1
10,2,4,1019038148,0.5,1,1
9,4,1,1991948354,0.5,1,1
2,3,5,973,0.5,1,1
3,0,7,821459744,0.5,1,1
5,6,5,979655734,0.5,1,1
7,4,2,39021707,0.5,1,1
7,6,2,80524421,0.5,1,1
4,1,6,688020399,0.5,1,1
7,0,6,555013701,0.5,1,1
3,1,8,445975878,0.5,1,1
7,5,4,1019038148,0.5,1,1
9,4,1,1991948354,0.5,1,1
5,6,4,973,0.5,1,1
6,3,4,821459744,0.5,1,1
8,0,3,979655734,0.5,1,1
7,5,2,39021707,0.5,1,1
3,2,5,80524421,0.5,1,1
5,3,4,688020399,0.5,1,1
6,0,6,555013701,0.5,1,1
4,3,5,445975878,0.5,1,1
10,3,2,1019038148,0.5,1,1
7,2,6,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
