recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
2,5,0,2580835310.000000,0.01,0.02,1,2,50,1000,2147483647
7,0,0,2314167903.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,2314167903.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,2314167903.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,3440054381.000000,1.9,1.91,1,2,30,1000,2147483647
5,0,1,2252401138.000000,1.7,1.71,1,2,30,1000,2147483647
5,0,1,2219646840.000000,1.6,1.61,1,2,30,1000,2147483647
5,0,1,2765634783.000000,1.3,1.31,1,2,30,1000,2147483647
4,2,0,1672046765.000000,1.1,1.11,1,2,30,1000,2147483647
5,1,0,1672046765.000000,1.1,1.11,1,2,30,1000,2147483647
5,0,1,1672046765.000000,1.1,1.11,1,2,30,1000,2147483647
4,1,1,1672046765.000000,1.1,1.11,1,2,30,1000,2147483647
2,5,0,3765046949.000000,0.9,0.91,1,2,30,1000,2147483647
5,1,0,3527641770.000000,0.8,0.81,1,2,30,1000,2147483647
2,5,0,2121536745.000000,0.6,0.61,1,2,30,1000,2147483647
2,5,0,2121536745.000000,0.6,0.61,1,2,30,1000,2147483647
3,3,0,3563090736.000000,0.5,0.51,1,2,30,1000,2147483647
2,5,0,1844856159.000000,0.4,0.41,1,2,30,1000,2147483647
2,5,0,2581663443.000000,0.3,0.31,1,2,30,1000,2147483647
2,4,1,2581663443.000000,0.3,0.31,1,2,30,1000,2147483647
2,5,0,2581663443.000000,0.3,0.31,1,2,30,1000,2147483647
2,5,0,3379319390.000000,0.2,0.21,1,2,30,1000,2147483647
2,5,0,3379319390.000000,0.2,0.21,1,2,30,1000,2147483647
2,5,0,3600483248.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,3600483248.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,3600483248.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,3600483248.000000,0.1,0.11,1,2,30,1000,2147483647
0,8,2,1681357184.000000,0.01,0.02,1,2,30,1000,2147483647
0,10,0,1681357184.000000,0.01,0.02,1,2,30,1000,2147483647
0,8,2,1681357184.000000,0.01,0.02,1,2,30,1000,2147483647
