recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
4,2,7,1139866661,1.1,1,1.1
0,1,10,2145773413,1.1,1,1.1
3,2,6,765559959,1.1,1,1.1
2,1,4,922996062,1.1,1,1.1
4,4,4,201973546,1.1,1,1.1
2,1,6,285099244,1.1,1,1.1
2,3,7,1318937128,1.1,1,1.1
4,1,7,10524010,1.1,1,1.1
5,6,0,1576678291,1.1,1,1.1
3,2,5,824226191,1.1,1,1.1
4,1,1,824226191,1.5,1,1.1
0,10,6,1678956260,1.5,1,1.1
2,1,7,807599264,1.5,1,1.1
2,2,9,1755312604,1.5,1,1.1
4,4,4,1777774958,1.5,1,1.1
3,2,4,245232249,1.5,1,1.1
3,0,9,1769748141,1.5,1,1.1
4,0,7,2138662061,1.5,1,1.1
4,3,2,2141440911,1.5,1,1.1
2,3,8,504377204,1.5,1,1.1
2,1,8,504377204,2,1,1.1
1,1,7,1264339817,2,1,1.1
3,1,5,973449153,2,1,1.1
1,6,7,10793338,2,1,1.1
0,2,9,1865552948,2,1,1.1
3,1,3,756103610,2,1,1.1
1,2,6,1067445843,2,1,1.1
0,3,10,1851590706,2,1,1.1
1,1,8,544747925,2,1,1.1
1,3,6,189540241,2,1,1.1
8,1,5,189540241,0.5,1,1.5
4,1,9,1236965120,0.5,1,1.5
8,1,7,1626960217,0.5,1,1.5
7,2,4,409296110,0.5,1,1.5
5,1,8,1735697921,0.5,1,1.5
7,2,7,758524588,0.5,1,1.5
6,4,5,553973137,0.5,1,1.5
6,1,11,1718079571,0.5,1,1.5
3,1,10,1494551648,0.5,1,1.5
9,1,5,1449046296,0.5,1,1.5
3,2,4,1449046296,1,1,1.5
2,0,12,4845656,1,1,1.5
4,0,6,1633310998,1,1,1.5
1,2,9,514049704,1,1,1.5
2,1,8,1487397240,1,1,1.5
3,2,7,1050732054,1,1,1.5
4,0,9,1438801609,1,1,1.5
4,0,6,882860744,1,1,1.5
5,1,5,1289633407,1,1,1.5
3,0,7,1120629241,1,1,1.5
3,0,9,1120629241,1.1,1,1.5
5,3,4,1913120162,1.1,1,1.5
2,1,7,1173087939,1.1,1,1.5
4,1,5,1079250730,1.1,1,1.5
8,0,3,1926651337,1.1,1,1.5
3,5,5,579718040,1.1,1,1.5
3,1,6,1393281834,1.1,1,1.5
7,1,4,1367389909,1.1,1,1.5
4,2,6,608183402,1.1,1,1.5
5,1,5,1983146930,1.1,1,1.5
3,0,8,1983146930,1.5,1,1.5
2,1,7,598126883,1.5,1,1.5
3,1,4,167206861,1.5,1,1.5
2,0,8,883325691,1.5,1,1.5
3,0,7,277595394,1.5,1,1.5
3,0,7,385951463,1.5,1,1.5
2,2,7,1541238372,1.5,1,1.5
5,0,8,1383128037,1.5,1,1.5
3,3,4,557930369,1.5,1,1.5
4,0,7,774129583,1.5,1,1.5
2,0,7,774129583,2,1,1.5
0,1,10,717140477,2,1,1.5
2,3,8,1648698960,2,1,1.5
0,1,10,522947670,2,1,1.5
1,1,9,981466005,2,1,1.5
0,1,10,210041646,2,1,1.5
0,3,7,1032778151,2,1,1.5
2,2,10,790098216,2,1,1.5
2,7,3,1766527259,2,1,1.5
3,1,5,1268564861,2,1,1.5
8,4,5,1268564861,0.5,1,2
8,0,6,1016022718,0.5,1,2
7,0,5,1324704188,0.5,1,2
8,0,7,1350962310,0.5,1,2
7,2,9,1603445621,0.5,1,2
10,5,5,1805625959,0.5,1,2
4,0,8,2096220479,0.5,1,2
7,0,6,1296315799,0.5,1,2
8,2,10,100886281,0.5,1,2
6,2,7,474932795,0.5,1,2
2,2,6,474932795,1,1,2
4,0,10,319094799,1,1,2
3,3,5,1150667732,1,1,2
2,1,10,1625572764,1,1,2
1,2,8,1479066750,1,1,2
9,0,4,742375518,1,1,2
6,1,6,1819537349,1,1,2
3,0,9,1707232328,1,1,2
2,2,6,19985243,1,1,2
2,1,7,1507793136,1,1,2
2,1,7,1507793136,1.1,1,2
4,2,9,1408214879,1.1,1,2
2,0,7,1648284220,1.1,1,2
4,0,8,771960590,1.1,1,2
2,3,8,1987213130,1.1,1,2
0,2,9,900418197,1.1,1,2
4,1,6,711539405,1.1,1,2
7,0,3,239978349,1.1,1,2
2,1,6,76157076,1.1,1,2
5,3,4,2125812562,1.1,1,2
3,3,6,2125812562,1.5,1,2
1,0,9,1960278265,1.5,1,2
4,0,5,1724794805,1.5,1,2
1,0,10,778916189,1.5,1,2
3,1,11,406185948,1.5,1,2
3,0,8,840961085,1.5,1,2
2,3,7,57102492,1.5,1,2
2,2,9,1958914168,1.5,1,2
2,0,9,1316231257,1.5,1,2
3,2,7,1261511180,1.5,1,2
1,1,9,1261511180,2,1,2
3,2,6,715467978,2,1,2
2,2,3,206009534,2,1,2
0,1,12,665179510,2,1,2
3,0,10,1988312997,2,1,2
1,1,10,1121846976,2,1,2
1,1,9,435329522,2,1,2
1,0,10,1717772478,2,1,2
3,3,1,1302913181,2,1,2
0,1,10,62860298,2,1,2
