recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
211,0,0,3528861769.000000,24.231015,-1,-1,1,2,50,211,600
210,0,0,3508933787.000000,29.545594,-1,-1,1,2,50,210,600
-134,0,0,2378585775.000000,180.544334,3,3.01,1,2,50,999,600
-210,-4,-8,2384970329.000000,164.794780,2,2.01,1,2,50,999,600
-211,-3,-8,2102136850.000000,148.076903,2,2.01,1,2,50,999,600
-86,-16,-15,1865081308.000000,180.589210,1.5,1.51,1,2,50,999,600
-17,-48,-16,3725967070.000000,181.781669,1.1,1.11,1,2,50,999,600
-8,-62,-18,1846928563.000000,180.508974,1,1.01,1,2,50,999,600
-1,-69,-11,3508674218.000000,181.558392,0.9,0.91,1,2,50,999,600
0,-70,-15,3730321387.000000,182.628028,0.7,0.71,1,2,50,999,600
0,-67,-13,3414975827.000000,180.662426,0.5,0.51,1,2,50,999,600
0,-64,-17,3177604274.000000,180.834467,0.3,0.31,1,2,50,999,600
0,-70,-12,2558230597.000000,180.736040,0.1,0.11,1,2,50,999,600
0,-68,-15,2820444649.000000,180.387304,0.01,0.02,1,2,50,999,600
0,-94,-13,3399978755.000000,180.876535,1,1.1,-1,-1,50,999,600
191,0,0,3014269421.000000,22.864890,-1,-1,1,2,100,191,600
196,0,0,3092371417.000000,21.677844,-1,-1,1,2,100,999,600
237,0,0,3250351063.000000,141.729457,3,3.01,1,2,100,999,600
233,0,0,1983925272.000000,148.659610,3,3.01,1,2,100,999,600
218,0,0,3572669086.000000,140.130353,2,2.01,1,2,100,999,600
-191,-1,0,2341002803.000000,130.503375,2,2.01,1,2,100,999,600
-191,-1,-4,2961424934.000000,116.784126,1.5,1.51,1,2,100,999,600
-191,-3,-5,2756614261.000000,132.577274,1.5,1.51,1,2,100,999,600
-46,-38,-19,2483308898.000000,180.754062,1.1,1.11,1,2,100,999,600
-5,-65,-12,1948265844.000000,181.835168,1,1.01,1,2,100,999,600
0,-70,-12,2506504053.000000,182.223419,0.9,0.91,1,2,100,999,600
0,-77,-6,2036643510.000000,181.518054,0.7,0.71,1,2,100,999,600
0,-74,-9,1861163998.000000,181.862588,0.5,0.51,1,2,100,999,600
0,-71,-7,2946257614.000000,182.816998,0.3,0.31,1,2,100,999,600
0,-67,-14,3771080214.000000,181.158402,0.1,0.11,1,2,100,999,600
0,-75,-16,3113691862.000000,182.110956,0.01,0.02,1,2,100,999,600
0,-110,-2,2393088726.000000,181.448285,1,1.1,-1,-1,100,999,600
193,0,0,3274538979.000000,30.615450,-1,-1,1,2,50,193,600
204,0,0,1800774838.000000,29.963646,-1,-1,1,2,50,999,600
266,0,0,2901084500.000000,165.045515,3,3.01,1,2,50,999,600
-193,0,-2,2553847408.000000,163.920576,3,3.01,1,2,50,999,600
-193,-3,0,3282825056.000000,148.408064,2,2.01,1,2,50,999,600
-186,-3,-3,2994692586.000000,180.204409,2,2.01,1,2,50,999,600
-80,-13,-13,3714222964.000000,180.816612,1.5,1.51,1,2,50,999,600
-19,-54,-17,1853496862.000000,181.166962,1.1,1.11,1,2,50,999,600
-8,-58,-13,2035814598.000000,180.099082,1,1.01,1,2,50,999,600
0,-66,-12,1906240917.000000,181.128717,0.9,0.91,1,2,50,999,600
0,-78,-12,1774727975.000000,180.732937,0.7,0.71,1,2,50,999,600
0,-74,-10,2459822657.000000,181.800267,0.5,0.51,1,2,50,999,600
0,-73,-12,1861413137.000000,181.818124,0.3,0.31,1,2,50,999,600
0,-71,-11,2955562532.000000,182.316468,0.1,0.11,1,2,50,999,600
0,-72,-14,3738620496.000000,181.902252,0.01,0.02,1,2,50,999,600
0,-85,-14,2692774372.000000,180.120144,1,1.1,-1,-1,50,999,600
192,0,0,3194164886.000000,27.987027,-1,-1,1,2,100,192,600
198,0,0,3472550986.000000,35.220645,-1,-1,1,2,100,999,600
-209,0,-1,2357480456.000000,153.541834,3,3.01,1,2,100,999,600
227,0,0,3742995093.000000,163.964647,3,3.01,1,2,100,999,600
-192,0,-1,3547294524.000000,122.033104,2,2.01,1,2,100,999,600
219,0,0,2920575276.000000,138.472547,2,2.01,1,2,100,999,600
-192,-3,-4,3428868871.000000,121.971250,1.5,1.51,1,2,100,999,600
-192,-3,-2,2628141587.000000,137.256629,1.5,1.51,1,2,100,999,600
-37,-38,-14,2405346878.000000,180.446682,1.1,1.11,1,2,100,999,600
-12,-72,-13,2472709271.000000,181.459916,1,1.01,1,2,100,999,600
0,-67,-16,2582758587.000000,181.207037,0.9,0.91,1,2,100,999,600
0,-80,-6,3048216014.000000,181.763231,0.7,0.71,1,2,100,999,600
0,-70,-20,2684439775.000000,181.441114,0.5,0.51,1,2,100,999,600
0,-68,-13,3143479515.000000,181.001551,0.3,0.31,1,2,100,999,600
0,-75,-7,2120295383.000000,180.370497,0.1,0.11,1,2,100,999,600
0,-75,-7,2715536826.000000,182.508033,0.01,0.02,1,2,100,999,600
0,-102,-1,1691794564.000000,180.722901,1,1.1,-1,-1,100,999,600
