recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
21,0,0,2773012013.000000,0.058466,-1,-1,1,2,50,21,600
22,0,0,2618791467.000000,0.063235,-1,-1,1,2,50,999,600
28,0,0,2638436599.000000,0.683035,3,3.01,1,2,50,999,600
26,0,0,1977369236.000000,0.439071,3,3.01,1,2,50,999,600
17,1,1,2733603268.000000,0.419718,2,2.01,1,2,50,999,600
-27,0,-1,3743222711.000000,0.573198,2,2.01,1,2,50,999,600
-21,0,-1,1695829916.000000,0.468368,1.5,1.51,1,2,50,999,600
-22,0,-1,2486678657.000000,0.452677,1.5,1.51,1,2,50,999,600
-17,-5,-11,2693075061.000000,0.525006,1.1,1.11,1,2,50,999,600
-17,-7,-5,3111457159.000000,0.437413,1.1,1.11,1,2,50,999,600
-17,-29,-25,2208779424.000000,1.144237,1,1.01,1,2,50,999,600
11,8,9,3217677914.000000,0.404493,1,1.01,1,2,50,999,600
2,18,4,2997164099.000000,0.454825,0.9,0.91,1,2,50,999,600
-2,-23,-24,2566134964.000000,0.507630,0.9,0.91,1,2,50,999,600
-2,-222,-258,2419285908.000000,3.882848,0.7,0.71,1,2,50,999,600
-2,-25,-98,1701494249.000000,1.155059,0.7,0.71,1,2,50,999,600
0,12,5,1790557033.000000,0.261764,0.5,0.51,1,2,50,999,600
0,-11,-7,2102834559.000000,0.373002,0.5,0.51,1,2,50,999,600
0,-11,-7,2734113329.000000,0.350676,0.3,0.31,1,2,50,999,600
0,-8,-10,2726820158.000000,0.334696,0.3,0.31,1,2,50,999,600
0,-12,-6,3492504212.000000,0.255026,0.1,0.11,1,2,50,999,600
0,-13,-5,3198128937.000000,0.361793,0.1,0.11,1,2,50,999,600
0,-6,-12,3347453510.000000,0.505438,0.01,0.02,1,2,50,999,600
0,10,5,2972649062.000000,0.287419,0.01,0.02,1,2,50,999,600
0,-12,-4,2780985479.000000,0.411307,1,1.1,-1,-1,50,999,600
0,-14,-2,2988208933.000000,0.378833,1,1.1,-1,-1,50,999,600
21,0,0,2174126012.000000,0.059500,-1,-1,1,2,100,21,600
21,0,0,3472961657.000000,0.054551,-1,-1,1,2,100,999,600
26,0,0,3290998454.000000,0.452712,3,3.01,1,2,100,999,600
-23,-1,0,2327642141.000000,0.514045,3,3.01,1,2,100,999,600
-21,0,-1,3494846877.000000,0.556882,2,2.01,1,2,100,999,600
20,0,1,3201953120.000000,0.458268,2,2.01,1,2,100,999,600
18,1,2,1802663937.000000,0.450205,1.5,1.51,1,2,100,999,600
18,2,1,3172593764.000000,0.455171,1.5,1.51,1,2,100,999,600
15,3,1,2799687280.000000,0.424480,1.1,1.11,1,2,100,999,600
13,3,3,2174717006.000000,0.405364,1.1,1.11,1,2,100,999,600
4,8,4,2532677014.000000,0.305616,1,1.01,1,2,100,999,600
4,7,4,1791895114.000000,0.260684,1,1.01,1,2,100,999,600
1,11,3,2471620862.000000,0.227194,0.9,0.91,1,2,100,999,600
-1,-10,-5,2418514449.000000,0.346604,0.9,0.91,1,2,100,999,600
0,11,5,3360611925.000000,0.281812,0.7,0.71,1,2,100,999,600
0,11,4,3528390332.000000,0.318771,0.7,0.71,1,2,100,999,600
0,10,4,1995455653.000000,0.232682,0.5,0.51,1,2,100,999,600
0,-14,-1,2025017251.000000,0.231997,0.5,0.51,1,2,100,999,600
0,-12,-3,2139182553.000000,0.304758,0.3,0.31,1,2,100,999,600
0,-12,-3,2715070003.000000,0.235113,0.3,0.31,1,2,100,999,600
0,13,1,3670186469.000000,0.253048,0.1,0.11,1,2,100,999,600
0,-13,-2,3165779511.000000,0.231847,0.1,0.11,1,2,100,999,600
0,-12,-3,1840561585.000000,0.284369,0.01,0.02,1,2,100,999,600
0,-11,-4,2164957214.000000,0.324139,0.01,0.02,1,2,100,999,600
0,13,1,2693073998.000000,0.236395,1,1.1,-1,-1,100,999,600
0,-13,-2,1967470194.000000,0.260777,1,1.1,-1,-1,100,999,600
21,0,0,1745449138.000000,0.057872,-1,-1,1,2,50,21,600
21,0,0,1751107250.000000,0.056989,-1,-1,1,2,50,999,600
-29,0,-1,3445544525.000000,0.532881,3,3.01,1,2,50,999,600
32,0,0,2887146119.000000,0.770355,3,3.01,1,2,50,999,600
29,0,0,2816644348.000000,0.600829,2,2.01,1,2,50,999,600
25,0,0,2306622779.000000,0.572767,2,2.01,1,2,50,999,600
-21,0,-1,2240907765.000000,0.562047,1.5,1.51,1,2,50,999,600
18,1,1,3429048793.000000,0.411134,1.5,1.51,1,2,50,999,600
-18,-9,-1,1898815349.000000,0.422958,1.1,1.11,1,2,50,999,600
-18,-5,-7,2407777230.000000,0.469532,1.1,1.11,1,2,50,999,600
-18,-27,-27,3404929420.000000,0.824653,1,1.01,1,2,50,999,600
-18,-13,-22,3317049894.000000,1.022184,1,1.01,1,2,50,999,600
9,56,51,3022589075.000000,1.968536,0.9,0.91,1,2,50,999,600
12,12,12,2622249827.000000,0.550379,0.9,0.91,1,2,50,999,600
0,12,6,3221299126.000000,0.359196,0.7,0.71,1,2,50,999,600
0,-14,-5,2505711514.000000,0.349231,0.7,0.71,1,2,50,999,600
0,-12,-7,3005489831.000000,0.392677,0.5,0.51,1,2,50,999,600
0,-13,-6,2870377484.000000,0.332202,0.5,0.51,1,2,50,999,600
0,-13,-6,2420997681.000000,0.347146,0.3,0.31,1,2,50,999,600
0,11,4,2452956632.000000,0.260479,0.3,0.31,1,2,50,999,600
0,-11,-5,3413018769.000000,0.327204,0.1,0.11,1,2,50,999,600
1,12,2,2677831953.000000,0.242924,0.1,0.11,1,2,50,999,600
0,-9,-7,1901430372.000000,0.297438,0.01,0.02,1,2,50,999,600
0,-12,-4,3288590961.000000,0.368368,0.01,0.02,1,2,50,999,600
0,-12,-4,2858421642.000000,0.493645,1,1.1,-1,-1,50,999,600
0,-12,-4,1723392716.000000,0.286410,1,1.1,-1,-1,50,999,600
21,0,0,2514904792.000000,0.062736,-1,-1,1,2,100,21,600
21,0,0,3193941703.000000,0.060050,-1,-1,1,2,100,999,600
26,0,0,3729366765.000000,0.541259,3,3.01,1,2,100,999,600
25,0,0,2468267761.000000,0.788410,3,3.01,1,2,100,999,600
18,0,2,1759317969.000000,0.422895,2,2.01,1,2,100,999,600
23,0,0,3432265429.000000,0.482607,2,2.01,1,2,100,999,600
