recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
23,5,8,1879,0.003846,0.5,1,1
23,3,8,2111756210,0.002973,0.5,1,1
21,6,7,623143047,0.002783,0.5,1,1
17,8,8,1615145855,0.002647,0.5,1,1
26,4,5,783175675,0.004606,0.5,1,1
20,13,7,1718784626,0.003169,0.5,1,1
21,5,6,1724635812,0.003040,0.5,1,1
25,4,6,1304619808,0.003323,0.5,1,1
21,5,9,1287097431,0.002871,0.5,1,1
25,3,9,231937849,0.003401,0.5,1,1
24,2,6,156390633,0.003667,0.5,1,1
23,4,7,468733260,0.003033,0.5,1,1
29,3,6,809140237,0.004344,0.5,1,1
19,5,8,852003263,0.002431,0.5,1,1
21,4,9,1841508774,0.002930,0.5,1,1
19,3,8,1121817228,0.002660,0.5,1,1
25,14,6,1484103222,0.002847,0.5,1,1
20,4,8,742175013,0.002577,0.5,1,1
22,8,5,1485944901,0.003668,0.5,1,1
24,6,5,1224701142,0.002998,0.5,1,1
20,16,8,96896302,0.002838,0.5,1,1
18,4,9,1399388155,0.002978,0.5,1,1
23,4,7,1256210229,0.003574,0.5,1,1
21,4,9,1507177912,0.003957,0.5,1,1
26,3,6,240507179,0.003933,0.5,1,1
27,3,6,240507179,0.003530,0.6,1,1
22,7,5,799890733,0.003430,0.6,1,1
23,4,6,1257645671,0.003069,0.6,1,1
18,6,7,1670287818,0.003287,0.6,1,1
23,6,6,1578099784,0.003485,0.6,1,1
22,5,4,1216555352,0.003175,0.6,1,1
27,4,10,763845831,0.003711,0.6,1,1
22,6,7,767192705,0.006231,0.6,1,1
31,4,5,1091137528,0.004451,0.6,1,1
20,6,9,474499808,0.002728,0.6,1,1
25,7,4,1757288024,0.003707,0.6,1,1
23,3,6,224507970,0.004302,0.6,1,1
26,4,6,596444645,0.003432,0.6,1,1
18,5,8,1385683314,0.002546,0.6,1,1
17,6,7,1702912257,0.002564,0.6,1,1
20,3,8,1032923023,0.002617,0.6,1,1
22,2,9,498483332,0.003113,0.6,1,1
18,4,9,1812016039,0.003250,0.6,1,1
28,4,5,228331776,0.003486,0.6,1,1
19,3,9,1541362526,0.003007,0.6,1,1
19,6,9,636553433,0.002326,0.6,1,1
24,3,8,1709959167,0.003304,0.6,1,1
21,6,7,1948802013,0.002825,0.6,1,1
23,4,5,1011866008,0.003254,0.6,1,1
26,3,6,1920374130,0.003256,0.6,1,1
19,6,9,1920374130,0.003819,0.9,1,1
17,6,10,1326617789,0.002482,0.9,1,1
19,8,7,178651832,0.003129,0.9,1,1
15,8,7,946468438,0.002179,0.9,1,1
21,4,8,736122576,0.003306,0.9,1,1
15,6,10,1767888341,0.003458,0.9,1,1
17,5,8,651664509,0.003523,0.9,1,1
17,8,9,150806880,0.002367,0.9,1,1
16,5,9,1057608586,0.002539,0.9,1,1
17,5,9,1735251232,0.002582,0.9,1,1
16,6,8,1185171627,0.001733,0.9,1,1
18,6,10,1662614193,0.004941,0.9,1,1
14,8,9,594316141,0.002956,0.9,1,1
19,6,7,1760178414,0.002946,0.9,1,1
18,5,9,2130746515,0.002618,0.9,1,1
14,7,9,1326581247,0.002335,0.9,1,1
20,4,8,1224330109,0.005035,0.9,1,1
14,6,10,924155344,0.002798,0.9,1,1
19,6,9,16519608,0.003379,0.9,1,1
19,4,7,1836838882,0.002952,0.9,1,1
18,6,7,347457894,0.002814,0.9,1,1
20,6,9,1605999764,0.005168,0.9,1,1
17,5,9,2059160270,0.002934,0.9,1,1
18,7,11,2039829818,0.003317,0.9,1,1
18,3,9,1506666029,0.002161,0.9,1,1
5,9,15,1506666029,0.001127,1,1,1
4,7,19,1505840491,0.001775,1,1,1
4,9,17,1606849027,0.001562,1,1,1
3,11,17,140150731,0.001512,1,1,1
3,19,14,512586767,0.002394,1,1,1
3,12,17,1900913729,0.002734,1,1,1
4,13,13,1570555621,0.001299,1,1,1
4,13,15,1698130071,0.002768,1,1,1
4,13,16,1671425395,0.001517,1,1,1
5,9,17,1832121217,0.002247,1,1,1
7,6,16,1552342320,0.001676,1,1,1
5,11,14,133040448,0.001697,1,1,1
5,12,13,1800569178,0.001725,1,1,1
2,14,16,202162200,0.002098,1,1,1
5,5,18,1059302668,0.002275,1,1,1
4,4,23,1577251464,0.001889,1,1,1
3,14,14,579283809,0.002377,1,1,1
6,15,13,1006065867,0.002059,1,1,1
5,7,16,1500106001,0.001753,1,1,1
7,10,15,1625188613,0.002083,1,1,1
6,8,16,624082414,0.001605,1,1,1
4,11,16,754392229,0.001837,1,1,1
5,12,13,1510620707,0.001532,1,1,1
5,12,13,430932486,0.002748,1,1,1
4,10,17,1040122154,0.001779,1,1,1
4,10,17,1040122154,0.002898,1.5,1,1
4,6,20,1585243085,0.001587,1.5,1,1
3,10,15,121358861,0.001379,1.5,1,1
3,10,17,641924052,0.001673,1.5,1,1
2,13,14,500365866,0.001148,1.5,1,1
2,10,19,1770300256,0.001627,1.5,1,1
3,8,21,950242648,0.001391,1.5,1,1
1,12,17,1736039484,0.001357,1.5,1,1
4,8,17,1172534350,0.001646,1.5,1,1
7,9,16,433914664,0.003634,1.5,1,1
3,12,16,1206811700,0.001233,1.5,1,1
3,10,17,2111321662,0.002296,1.5,1,1
4,9,21,2028350291,0.001488,1.5,1,1
3,14,17,932437212,0.001583,1.5,1,1
2,13,15,1800016989,0.001370,1.5,1,1
3,12,18,186966967,0.001791,1.5,1,1
4,7,18,1493980714,0.001589,1.5,1,1
2,12,18,870530636,0.001360,1.5,1,1
2,12,18,1557202932,0.002199,1.5,1,1
4,9,16,1101705821,0.001740,1.5,1,1
4,9,19,1352844585,0.002398,1.5,1,1
4,8,19,671040503,0.001792,1.5,1,1
2,10,17,1243211314,0.001694,1.5,1,1
2,10,19,927100240,0.001346,1.5,1,1
2,11,19,438365779,0.001457,1.5,1,1
2,12,18,438365779,0.001272,1.9,1,1
1,13,19,1217457321,0.001380,1.9,1,1
4,9,16,1763924157,0.001389,1.9,1,1
3,13,15,498141263,0.002096,1.9,1,1
4,10,15,1298817026,0.002656,1.9,1,1
1,11,20,1342199221,0.001121,1.9,1,1
5,7,20,2070721362,0.002111,1.9,1,1
1,9,23,888314411,0.001091,1.9,1,1
3,13,16,1325645759,0.001921,1.9,1,1
1,15,16,1690177065,0.001402,1.9,1,1
3,11,16,547100292,0.001859,1.9,1,1
2,11,18,1778027524,0.001321,1.9,1,1
1,12,17,2046655025,0.001159,1.9,1,1
4,10,17,2061903956,0.002407,1.9,1,1
5,10,16,811927956,0.002087,1.9,1,1
2,15,17,614330309,0.001439,1.9,1,1
3,10,17,756269645,0.002029,1.9,1,1
3,6,22,667910180,0.002137,1.9,1,1
4,11,17,1208720846,0.001900,1.9,1,1
2,14,13,1443600378,0.001478,1.9,1,1
1,11,20,121736233,0.001324,1.9,1,1
5,12,15,1061027021,0.001684,1.9,1,1
3,11,17,1962562630,0.001505,1.9,1,1
2,11,18,495517783,0.001637,1.9,1,1
2,10,23,302829492,0.001936,1.9,1,1
1,9,25,302829492,0.001869,2,1,1
1,13,18,192890568,0.001384,2,1,1
1,9,25,78784927,0.001593,2,1,1
1,15,18,2052948495,0.001548,2,1,1
1,13,16,677031502,0.001097,2,1,1
1,14,18,1169429668,0.001234,2,1,1
2,14,18,1162202215,0.001752,2,1,1
1,12,21,267664349,0.001266,2,1,1
1,11,20,192223070,0.001770,2,1,1
1,13,19,1389775127,0.001342,2,1,1
2,11,18,980585717,0.002479,2,1,1
1,11,20,1343882380,0.001482,2,1,1
2,12,18,656374730,0.003036,2,1,1
1,7,24,2090968790,0.001812,2,1,1
2,21,14,19586669,0.001700,2,1,1
1,15,17,1187291893,0.001529,2,1,1
1,13,18,1391041336,0.001384,2,1,1
1,11,20,304256772,0.001305,2,1,1
1,12,17,1480361024,0.001239,2,1,1
2,13,17,938197416,0.001679,2,1,1
1,14,18,219579234,0.001386,2,1,1
1,14,16,227075907,0.002883,2,1,1
1,14,17,1713649534,0.001455,2,1,1
1,11,20,2031994029,0.002023,2,1,1
1,13,20,1303363783,0.001275,2,1,1
1,15,18,1303363783,0.001999,3,1,1
1,11,22,1397206106,0.001252,3,1,1
1,15,18,1309350768,0.001934,3,1,1
1,15,16,1458034145,0.001290,3,1,1
1,10,23,2033886090,0.001494,3,1,1
1,16,15,144476952,0.001041,3,1,1
1,14,20,548201062,0.001431,3,1,1
1,11,20,1691873148,0.001420,3,1,1
1,13,18,1145359456,0.001852,3,1,1
1,12,18,750000149,0.001143,3,1,1
1,11,20,953494253,0.001587,3,1,1
1,13,18,1462231070,0.001225,3,1,1
1,12,17,1083283771,0.001284,3,1,1
1,7,27,543126293,0.001486,3,1,1
1,11,19,1470547209,0.001197,3,1,1
1,10,21,544249973,0.001140,3,1,1
1,14,20,1017353683,0.001387,3,1,1
1,13,18,287401822,0.001279,3,1,1
1,13,19,1522480113,0.001444,3,1,1
1,11,20,1804035533,0.002358,3,1,1
1,14,17,1358366568,0.001426,3,1,1
1,9,22,1479527122,0.001481,3,1,1
1,11,23,183356460,0.001707,3,1,1
1,12,21,533484391,0.001289,3,1,1
1,13,22,1993084193,0.001456,3,1,1
1,14,21,1993084193,0.001515,4,1,1
1,10,23,1619303525,0.001100,4,1,1
0,14,22,498968611,0.001405,4,1,1
1,13,20,1506258960,0.001153,4,1,1
1,11,22,854806492,0.001356,4,1,1
1,13,19,1921514738,0.001231,4,1,1
1,15,16,186973312,0.001828,4,1,1
1,10,21,843037127,0.000921,4,1,1
1,9,23,53539913,0.001982,4,1,1
1,11,21,797347616,0.001715,4,1,1
1,11,20,2104002605,0.001433,4,1,1
1,9,22,1955553672,0.001164,4,1,1
1,10,22,1491227209,0.001087,4,1,1
1,15,17,1777690063,0.001131,4,1,1
1,10,21,396669414,0.001038,4,1,1
1,11,21,1997592521,0.001421,4,1,1
1,13,18,274661745,0.001211,4,1,1
0,18,18,287233796,0.001744,4,1,1
1,10,23,544659748,0.001837,4,1,1
1,9,24,682054490,0.001467,4,1,1
0,23,16,1607303454,0.001744,4,1,1
1,11,20,1909053894,0.001875,4,1,1
1,12,20,1511144501,0.001372,4,1,1
1,13,20,815742147,0.001167,4,1,1
1,8,23,1154624833,0.001180,4,1,1
0,9,28,1154624833,0.001240,50,1,1
0,13,24,1839164918,0.001179,50,1,1
0,18,19,734905727,0.000920,50,1,1
0,12,27,1138816253,0.001346,50,1,1
0,12,27,1256883263,0.000955,50,1,1
0,15,26,1246384027,0.001237,50,1,1
0,15,24,1090465412,0.001545,50,1,1
0,11,26,357829544,0.002055,50,1,1
0,8,30,1209485379,0.001287,50,1,1
0,19,20,1351658506,0.002140,50,1,1
0,19,18,990659111,0.001099,50,1,1
0,11,26,841137348,0.001369,50,1,1
0,9,30,1522610097,0.000954,50,1,1
0,13,24,1412564041,0.001123,50,1,1
0,11,26,1051986582,0.001033,50,1,1
0,11,25,1903975739,0.001678,50,1,1
0,12,28,1839926945,0.002191,50,1,1
0,11,26,1378630759,0.002000,50,1,1
0,12,23,560644846,0.001943,50,1,1
0,15,22,1992686773,0.001506,50,1,1
0,15,24,643084847,0.000907,50,1,1
0,16,19,344919449,0.001431,50,1,1
0,11,26,1836652309,0.001173,50,1,1
0,17,18,195446472,0.001275,50,1,1
0,11,28,901344121,0.001168,50,1,1
23,3,7,901344121,0.003526,0.5,1,1.3
29,1,7,675597194,0.005165,0.5,1,1.3
28,12,6,1045330789,0.004384,0.5,1,1.3
29,6,6,71538063,0.003151,0.5,1,1.3
22,10,11,318318868,0.003130,0.5,1,1.3
23,2,9,1239824163,0.003442,0.5,1,1.3
33,0,6,1605562599,0.005285,0.5,1,1.3
29,2,7,645482335,0.003988,0.5,1,1.3
