recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
12,4,3,1792,0.001799,0.5,1,1
13,6,1,1128658624,0.002508,0.5,1,1
16,4,1,478344373,0.001908,0.5,1,1
14,4,1,734865795,0.001472,0.5,1,1
12,3,5,1844446037,0.001619,0.5,1,1
9,5,5,1475102094,0.001267,0.5,1,1
11,4,3,848630577,0.001612,0.5,1,1
10,7,2,817983274,0.001456,0.5,1,1
16,6,2,1518336571,0.002373,0.5,1,1
11,4,3,821904816,0.001485,0.5,1,1
14,2,6,443557988,0.002889,0.5,1,1
10,4,3,2014986515,0.001776,0.5,1,1
11,5,2,2145241067,0.001650,0.5,1,1
15,8,2,1209560383,0.001661,0.5,1,1
12,5,4,2019558972,0.001289,0.5,1,1
20,3,1,1558328553,0.002193,0.5,1,1
14,4,2,1976033197,0.001502,0.5,1,1
8,6,2,1726156214,0.000865,0.5,1,1
10,5,4,1047111689,0.001004,0.5,1,1
16,5,2,606647482,0.002707,0.5,1,1
15,3,3,229369759,0.002038,0.5,1,1
10,5,2,1077370110,0.001359,0.5,1,1
16,4,3,1476480142,0.002419,0.5,1,1
16,10,1,1203719045,0.001722,0.5,1,1
17,2,3,1445102474,0.001768,0.5,1,1
17,2,3,1445102474,0.001860,0.6,1,1
12,4,3,1841933765,0.002033,0.6,1,1
12,2,4,1861700249,0.001377,0.6,1,1
12,3,5,925702658,0.002095,0.6,1,1
13,6,0,1776871540,0.001187,0.6,1,1
17,3,3,1961670202,0.002116,0.6,1,1
13,4,4,579279514,0.001863,0.6,1,1
13,3,4,556686611,0.001683,0.6,1,1
10,6,2,1204521452,0.001493,0.6,1,1
12,2,4,1017470098,0.001489,0.6,1,1
10,5,2,1612194,0.001204,0.6,1,1
10,4,3,1338627065,0.001295,0.6,1,1
11,5,2,1016820169,0.001240,0.6,1,1
15,1,5,288151990,0.001889,0.6,1,1
16,5,0,228476527,0.002234,0.6,1,1
9,4,6,1745714862,0.002080,0.6,1,1
17,5,1,1126240261,0.001751,0.6,1,1
12,4,4,1953064733,0.002273,0.6,1,1
10,5,3,2133619382,0.001079,0.6,1,1
16,3,4,1430627097,0.001834,0.6,1,1
13,5,1,320082593,0.001406,0.6,1,1
15,3,3,1871365288,0.001922,0.6,1,1
11,9,0,848943562,0.001187,0.6,1,1
19,3,1,1834621426,0.002613,0.6,1,1
8,8,1,1980069190,0.000961,0.6,1,1
8,8,1,1980069190,0.002148,0.9,1,1
11,3,6,105294650,0.001863,0.9,1,1
12,6,1,1632084866,0.001491,0.9,1,1
15,1,6,992477338,0.001699,0.9,1,1
14,2,5,127974755,0.001899,0.9,1,1
11,6,2,1759578275,0.001325,0.9,1,1
11,7,3,999696721,0.001412,0.9,1,1
17,4,4,978934381,0.001885,0.9,1,1
13,5,1,838008401,0.001149,0.9,1,1
17,5,2,1885786333,0.003112,0.9,1,1
12,2,5,56243539,0.001503,0.9,1,1
16,4,3,384200404,0.002577,0.9,1,1
14,4,3,1035417306,0.002160,0.9,1,1
12,5,1,597532096,0.001269,0.9,1,1
11,4,4,366732609,0.001438,0.9,1,1
14,3,4,1664653986,0.001446,0.9,1,1
9,5,3,1910419876,0.001210,0.9,1,1
12,5,1,473195872,0.001348,0.9,1,1
15,7,0,1435672909,0.001837,0.9,1,1
13,5,3,1897947848,0.001630,0.9,1,1
10,5,3,995047828,0.002564,0.9,1,1
16,9,3,55095270,0.002325,0.9,1,1
9,5,2,1866879662,0.001383,0.9,1,1
22,10,1,366903985,0.002531,0.9,1,1
12,5,3,1921746487,0.001300,0.9,1,1
7,7,6,1921746487,0.001316,1,1,1
3,5,11,1696386638,0.001129,1,1,1
6,5,8,1514125166,0.001236,1,1,1
6,8,2,257239404,0.000877,1,1,1
4,12,3,351833227,0.001216,1,1,1
6,8,7,69196198,0.001594,1,1,1
7,7,7,780898365,0.001859,1,1,1
6,9,5,984960961,0.001439,1,1,1
6,11,7,1966262537,0.001444,1,1,1
9,13,5,1007787266,0.001718,1,1,1
6,13,4,2140154796,0.002328,1,1,1
8,6,6,1376354275,0.001192,1,1,1
8,8,5,447482765,0.001237,1,1,1
3,7,9,1213709450,0.000995,1,1,1
4,8,6,289165366,0.001004,1,1,1
4,8,9,682285240,0.001273,1,1,1
4,6,9,592776448,0.001107,1,1,1
6,10,1,1154761639,0.001127,1,1,1
6,10,6,236504391,0.002006,1,1,1
4,8,6,932714856,0.001765,1,1,1
5,6,8,1368623286,0.001176,1,1,1
6,4,9,1180639935,0.001629,1,1,1
4,9,8,423495565,0.002863,1,1,1
6,9,9,1779649258,0.001521,1,1,1
4,12,4,1411076941,0.000960,1,1,1
4,12,4,1411076941,0.001065,1.5,1,1
4,6,7,67385042,0.000950,1.5,1,1
3,9,6,984599307,0.000749,1.5,1,1
3,5,12,1664939883,0.000845,1.5,1,1
2,10,11,591775800,0.001006,1.5,1,1
1,9,12,1968218030,0.001069,1.5,1,1
3,14,8,1441112915,0.001778,1.5,1,1
3,10,6,35976353,0.001053,1.5,1,1
2,6,11,1488849762,0.001511,1.5,1,1
2,8,10,299775952,0.002201,1.5,1,1
2,9,10,1671624404,0.000992,1.5,1,1
4,9,7,1571168643,0.002240,1.5,1,1
4,7,7,2110065669,0.000941,1.5,1,1
2,3,18,2059962978,0.001249,1.5,1,1
0,14,12,1759195283,0.001697,1.5,1,1
4,11,3,1524449745,0.001439,1.5,1,1
2,11,8,1115415942,0.001909,1.5,1,1
6,12,4,1409263107,0.001282,1.5,1,1
4,8,7,271704946,0.003146,1.5,1,1
2,10,9,511126641,0.002151,1.5,1,1
5,7,5,915515024,0.002426,1.5,1,1
6,14,5,1194972063,0.001499,1.5,1,1
2,7,15,459660277,0.001198,1.5,1,1
2,11,8,1720602685,0.000943,1.5,1,1
0,14,9,1278599692,0.000876,1.5,1,1
