recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
72,4,50,1359,0.012750,0.9,1,1.1
68,2,51,624587275,0.012555,0.9,1,1.1
64,2,50,313182303,0.012025,0.9,1,1.1
74,2,50,1425341393,0.015299,0.9,1,1.1
76,3,45,2068791524,0.012781,0.9,1,1.1
70,1,54,669642051,0.013196,0.9,1,1.1
75,5,47,1386996712,0.018748,0.9,1,1.1
72,2,49,524173591,0.011236,0.9,1,1.1
72,2,46,637360858,0.014767,0.9,1,1.1
67,4,46,513844318,0.014275,0.9,1,1.1
3,3,104,513844318,0.006418,1,1,1.1
6,6,106,1985394039,0.007413,1,1,1.1
5,2,105,1074987629,0.006601,1,1,1.1
5,2,103,1307119541,0.004589,1,1,1.1
7,3,104,2014558180,0.007330,1,1,1.1
3,4,103,1659812523,0.005625,1,1,1.1
4,3,106,1533354826,0.005668,1,1,1.1
6,3,103,375325802,0.005919,1,1,1.1
9,2,101,1776515459,0.006173,1,1,1.1
3,2,106,717190330,0.004585,1,1,1.1
64,3,52,717190330,0.013180,0.9,1,1.5
63,3,52,1276707621,0.011037,0.9,1,1.5
67,2,52,1239044814,0.012478,0.9,1,1.5
61,3,52,4782639,0.011352,0.9,1,1.5
78,2,49,1643355799,0.014446,0.9,1,1.5
71,2,48,76044242,0.012360,0.9,1,1.5
69,4,47,1598092937,0.013518,0.9,1,1.5
66,2,49,852629719,0.012258,0.9,1,1.5
63,0,53,2003693166,0.010637,0.9,1,1.5
67,3,50,2078394069,0.013846,0.9,1,1.5
2,4,102,2078394069,0.004665,1,1,1.5
6,2,106,2015815613,0.004507,1,1,1.5
5,1,107,1442539767,0.006808,1,1,1.5
4,4,104,621738606,0.006658,1,1,1.5
5,2,105,36157595,0.005766,1,1,1.5
6,2,107,1191499089,0.006552,1,1,1.5
4,5,102,908046227,0.006751,1,1,1.5
2,3,113,1237360953,0.007206,1,1,1.5
4,4,103,1634864222,0.005976,1,1,1.5
4,3,104,669916411,0.005099,1,1,1.5
69,0,52,669916411,0.010680,0.9,1,2
64,0,55,1014924256,0.012431,0.9,1,2
78,0,47,497001954,0.013104,0.9,1,2
64,0,54,1060773722,0.009364,0.9,1,2
80,0,51,1279268752,0.013854,0.9,1,2
71,0,51,926167120,0.013646,0.9,1,2
73,0,50,917091976,0.012404,0.9,1,2
62,0,54,1185136696,0.011628,0.9,1,2
75,0,50,1561797905,0.012018,0.9,1,2
73,0,52,533370130,0.012872,0.9,1,2
3,3,105,533370130,0.006338,1,1,2
9,3,103,834310484,0.005967,1,1,2
5,1,107,166997219,0.004822,1,1,2
6,1,105,2144802320,0.004642,1,1,2
4,3,106,1860615148,0.006242,1,1,2
3,0,112,737399040,0.006052,1,1,2
5,3,102,141789452,0.005074,1,1,2
2,1,107,1417769438,0.004459,1,1,2
3,1,107,536489981,0.004808,1,1,2
2,3,105,2138826416,0.006668,1,1,2
68,0,51,2138826416,0.012164,0.9,1,3
64,0,55,1528047662,0.013485,0.9,1,3
68,0,53,351576751,0.013159,0.9,1,3
77,0,49,760118992,0.013351,0.9,1,3
69,0,52,485899116,0.011392,0.9,1,3
74,0,50,1085592461,0.011552,0.9,1,3
77,0,49,1599745704,0.014000,0.9,1,3
78,0,50,958282072,0.013605,0.9,1,3
75,0,54,1576050740,0.014121,0.9,1,3
70,0,53,1054332389,0.016113,0.9,1,3
4,0,108,1054332389,0.005418,1,1,3
5,0,106,1493106603,0.006690,1,1,3
7,0,107,30399420,0.005194,1,1,3
9,0,104,1044815664,0.005154,1,1,3
6,0,108,1026174409,0.008198,1,1,3
8,0,107,1543547446,0.006053,1,1,3
12,0,109,613816713,0.007212,1,1,3
6,0,110,271923003,0.005946,1,1,3
6,0,110,1488394144,0.003725,1,1,3
3,0,110,1276555282,0.005059,1,1,3
112,7,78,1296,0.023066,0.9,1,1.1
124,7,71,567189406,0.026137,0.9,1,1.1
138,7,68,99559474,0.026504,0.9,1,1.1
113,13,73,961057076,0.023441,0.9,1,1.1
