Bound type, bound value, parameter (k/m)
hudson_overlap,51,
RecMin,85,
RecMinRobust,62,
hudson_nonoverlap,33,
robust_hudson,20,2
robust_hudson,14,3
robust_hudson,12,4
adversarial_hudson,51,0
adversarial_hudson,49,1
adversarial_hudson,47,2
adversarial_hudson,45,3
adversarial_hudson,44,4
adversarial_hudson,42,5
