recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
165,0,0,3318060072.000000,44.713601,-1,-1,1,2,50,165,600
180,0,0,2238836139.000000,50.581429,-1,-1,1,2,50,999,600
316,0,0,1902488361.000000,122.803530,3,3.01,1,2,50,999,600
-165,0,-1,1966507202.000000,143.611002,3,3.01,1,2,50,999,600
-165,-2,-1,3624731436.000000,110.499430,2,2.01,1,2,50,999,600
-165,-1,-4,2637004771.000000,96.348953,2,2.01,1,2,50,999,600
-165,-15,-33,1818408327.000000,147.805731,1.5,1.51,1,2,50,999,600
-165,-14,-26,1657542799.000000,131.909351,1.5,1.51,1,2,50,999,600
-29,-62,-26,3534126410.000000,181.177519,1.1,1.11,1,2,50,999,600
-10,-112,-16,2481786022.000000,180.884694,1,1.01,1,2,50,999,600
-3,-93,-13,3596239542.000000,181.738913,0.9,0.91,1,2,50,999,600
0,-100,-8,2630008979.000000,180.557900,0.7,0.71,1,2,50,999,600
0,-127,-11,3647046107.000000,180.613128,0.5,0.51,1,2,50,999,600
0,-118,-11,3120896632.000000,181.227902,0.3,0.31,1,2,50,999,600
0,-118,-5,1963462704.000000,180.989868,0.1,0.11,1,2,50,999,600
0,-104,-6,3584528803.000000,181.422047,0.01,0.02,1,2,50,999,600
0,-364,-18,3360613311.000000,180.237861,1,1.1,-1,-1,50,999,600
143,0,0,2307347010.000000,40.533787,-1,-1,1,2,100,143,600
173,0,0,2058397533.000000,47.437700,-1,-1,1,2,100,999,600
-207,0,0,1759425082.000000,191.723755,3,3.01,1,2,100,999,600
-143,-1,0,2657358701.000000,72.353406,2,2.01,1,2,100,999,600
-143,-1,-1,2240517477.000000,82.022038,2,2.01,1,2,100,999,600
-143,-4,-5,2819259915.000000,81.215740,1.5,1.51,1,2,100,999,600
138,4,6,2261969448.000000,69.079759,1.5,1.51,1,2,100,999,600
-89,-54,-45,2264506872.000000,180.307189,1.1,1.11,1,2,100,999,600
-8,-91,-15,1818091397.000000,181.273385,1,1.01,1,2,100,999,600
-1,-96,-7,2745233133.000000,180.289540,0.9,0.91,1,2,100,999,600
0,-110,-2,3770394320.000000,180.482790,0.7,0.71,1,2,100,999,600
0,-116,-5,3355479818.000000,180.384070,0.5,0.51,1,2,100,999,600
0,-112,-9,2039792386.000000,180.425329,0.3,0.31,1,2,100,999,600
0,-107,-6,2661126841.000000,181.776424,0.1,0.11,1,2,100,999,600
0,-145,-6,2865915301.000000,180.947763,0.01,0.02,1,2,100,999,600
0,-301,-9,3679456156.000000,180.558211,1,1.1,-1,-1,100,999,600
149,0,0,2639205365.000000,39.398631,-1,-1,1,2,50,149,600
169,0,0,3600298675.000000,56.904546,-1,-1,1,2,50,999,600
-150,-1,0,1741736508.000000,137.985122,3,3.01,1,2,50,999,600
298,0,0,2662687584.000000,156.516230,3,3.01,1,2,50,999,600
-149,-1,-2,3122132745.000000,106.520930,2,2.01,1,2,50,999,600
-149,-2,-5,2500862770.000000,125.811029,2,2.01,1,2,50,999,600
-149,-14,-12,3240261570.000000,113.710214,1.5,1.51,1,2,50,999,600
-149,-15,-19,3173546598.000000,116.033304,1.5,1.51,1,2,50,999,600
-23,-67,-25,2839379351.000000,180.071117,1.1,1.11,1,2,50,999,600
-7,-93,-14,2005263269.000000,181.580492,1,1.01,1,2,50,999,600
-2,-104,-10,2520318558.000000,180.261392,0.9,0.91,1,2,50,999,600
0,-102,-11,2990314931.000000,180.816907,0.7,0.71,1,2,50,999,600
0,-107,-5,3259843485.000000,181.916652,0.5,0.51,1,2,50,999,600
0,-101,-11,1729069748.000000,181.045773,0.3,0.31,1,2,50,999,600
0,-129,-9,2164300081.000000,181.568585,0.1,0.11,1,2,50,999,600
0,-108,-8,3209038556.000000,181.341646,0.01,0.02,1,2,50,999,600
0,-372,-21,3133758982.000000,180.042471,1,1.1,-1,-1,50,999,600
158,0,0,3186776287.000000,42.799953,-1,-1,1,2,100,158,600
152,0,0,1682849707.000000,46.187736,-1,-1,1,2,100,152,600
214,0,0,2627043890.000000,108.559305,3,3.01,1,2,100,999,600
208,0,0,3308764633.000000,113.386305,3,3.01,1,2,100,999,600
-153,-1,0,2847339893.000000,82.262036,2,2.01,1,2,100,999,600
-152,-1,0,2704700948.000000,97.733650,2,2.01,1,2,100,999,600
-152,-6,-6,1782766130.000000,78.296157,1.5,1.51,1,2,100,999,600
-152,-4,-1,3092149580.000000,97.123409,1.5,1.51,1,2,100,999,600
-60,-50,-37,2815277354.000000,180.603819,1.1,1.11,1,2,100,999,600
-6,-86,-12,2728684931.000000,180.147678,1,1.01,1,2,100,999,600
-2,-101,-9,2934390013.000000,180.395784,0.9,0.91,1,2,100,999,600
0,-113,-6,3160826327.000000,180.741413,0.7,0.71,1,2,100,999,600
0,-112,-5,2157382059.000000,181.485150,0.5,0.51,1,2,100,999,600
0,-110,-7,1931396034.000000,181.150693,0.3,0.31,1,2,100,999,600
0,-112,-7,1804656755.000000,182.047597,0.1,0.11,1,2,100,999,600
0,-123,-4,2399923766.000000,180.829369,0.01,0.02,1,2,100,999,600
0,-317,-4,1929868151.000000,180.212183,1,1.1,-1,-1,100,999,600
