recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
7,0,0,3527375077.000000,0.042327,-1,-1,1,2,30,7,150
7,0,0,3651461768.000000,0.041278,-1,-1,1,2,30,462,150
7,0,0,3656540642.000000,0.041857,-1,-1,1,2,30,462,150
7,0,0,3606282593.000000,0.040757,-1,-1,1,2,30,462,150
7,0,0,2334192598.000000,0.038588,-1,-1,1,2,30,462,150
7,0,0,3443244794.000000,0.083143,3,3.01,1,2,30,462,150
8,0,0,3482703001.000000,0.100879,3,3.01,1,2,30,462,150
9,0,0,1760375230.000000,0.104931,3,3.01,1,2,30,462,150
7,0,0,3204694212.000000,0.095707,3,3.01,1,2,30,462,150
7,0,0,3138733291.000000,0.065799,3,3.01,1,2,30,462,150
8,0,0,2050766329.000000,0.071146,2,2.01,1,2,30,462,150
7,0,0,3609070824.000000,0.098881,2,2.01,1,2,30,462,150
7,0,0,2003574500.000000,0.077920,2,2.01,1,2,30,462,150
7,0,0,3747643666.000000,0.069599,2,2.01,1,2,30,462,150
8,0,0,2802140895.000000,0.076370,2,2.01,1,2,30,462,150
-7,-1,0,3375892324.000000,0.089025,1.5,1.51,1,2,30,462,150
7,0,0,1890104891.000000,0.080302,1.5,1.51,1,2,30,462,150
7,0,0,3377360508.000000,0.150117,1.5,1.51,1,2,30,462,150
5,1,0,2335635091.000000,0.066439,1.5,1.51,1,2,30,462,150
7,0,0,2583942305.000000,0.069259,1.5,1.51,1,2,30,462,150
3,2,0,2665719922.000000,0.071923,1.2,1.21,1,2,30,462,150
-5,-2,0,2885704182.000000,0.096030,1.2,1.21,1,2,30,462,150
-4,-2,-1,1834695938.000000,0.081594,1.2,1.21,1,2,30,462,150
-3,-2,-1,2636690879.000000,0.058023,1.2,1.21,1,2,30,462,150
5,1,0,2679382941.000000,0.075363,1.2,1.21,1,2,30,462,150
-3,-2,-1,3603766998.000000,0.081754,1.1,1.11,1,2,30,462,150
5,1,0,2133832025.000000,0.082072,1.1,1.11,1,2,30,462,150
5,1,0,3604282205.000000,0.062015,1.1,1.11,1,2,30,462,150
-3,-2,-1,2446761869.000000,0.071564,1.1,1.11,1,2,30,462,150
2,2,1,2488421726.000000,0.072499,1.1,1.11,1,2,30,462,150
2,3,0,2735568223.000000,0.074210,1,1.01,1,2,30,462,150
-2,-5,-3,3612908793.000000,0.085808,1,1.01,1,2,30,462,150
2,3,0,1993730057.000000,0.097048,1,1.01,1,2,30,462,150
1,4,0,3078384205.000000,0.072622,1,1.01,1,2,30,462,150
0,4,1,1700763709.000000,0.071162,1,1.01,1,2,30,462,150
-1,-5,0,2951547653.000000,0.072967,0.9,0.91,1,2,30,462,150
1,4,0,3323788892.000000,0.074274,0.9,0.91,1,2,30,462,150
1,4,0,2665035286.000000,0.076416,0.9,0.91,1,2,30,462,150
1,3,1,2448523689.000000,0.078886,0.9,0.91,1,2,30,462,150
1,3,1,2806479532.000000,0.076532,0.9,0.91,1,2,30,462,150
0,5,0,3628923774.000000,0.080569,0.7,0.71,1,2,30,462,150
1,4,0,2477952115.000000,0.073320,0.7,0.71,1,2,30,462,150
0,4,1,1996125487.000000,0.074473,0.7,0.71,1,2,30,462,150
0,5,0,3564769454.000000,0.076630,0.7,0.71,1,2,30,462,150
0,4,1,3490048412.000000,0.072921,0.7,0.71,1,2,30,462,150
0,4,1,2172605140.000000,0.077049,0.5,0.51,1,2,30,462,150
0,4,1,1789434232.000000,0.076641,0.5,0.51,1,2,30,462,150
0,-6,0,3347661017.000000,0.074765,0.5,0.51,1,2,30,462,150
0,5,0,3079621157.000000,0.074447,0.5,0.51,1,2,30,462,150
0,4,1,2337457768.000000,0.077622,0.5,0.51,1,2,30,462,150
0,5,0,3615702228.000000,0.074495,0.3,0.31,1,2,30,462,150
0,5,0,2993942199.000000,0.074017,0.3,0.31,1,2,30,462,150
0,5,0,3084383054.000000,0.072615,0.3,0.31,1,2,30,462,150
0,4,1,1762744550.000000,0.083614,0.3,0.31,1,2,30,462,150
0,4,1,3212070795.000000,0.074174,0.3,0.31,1,2,30,462,150
0,5,0,3663514202.000000,0.073113,0.1,0.11,1,2,30,462,150
0,5,0,3013234545.000000,0.073901,0.1,0.11,1,2,30,462,150
0,5,0,3115649139.000000,0.074625,0.1,0.11,1,2,30,462,150
0,4,1,1844860672.000000,0.073799,0.1,0.11,1,2,30,462,150
0,5,0,2173190685.000000,0.073226,0.1,0.11,1,2,30,462,150
0,4,1,2050190316.000000,0.072664,0.01,0.02,1,2,30,462,150
0,3,2,2076585977.000000,0.072798,0.01,0.02,1,2,30,462,150
0,4,1,3043826491.000000,0.074445,0.01,0.02,1,2,30,462,150
0,4,1,2464515720.000000,0.074090,0.01,0.02,1,2,30,462,150
0,4,1,3377446717.000000,0.075420,0.01,0.02,1,2,30,462,150
0,5,0,2421157920.000000,0.068304,1,1.1,-1,-1,30,462,150
0,5,0,2683269729.000000,0.071796,1,1.1,-1,-1,30,462,150
0,4,1,3110742137.000000,0.076545,1,1.1,-1,-1,30,462,150
0,5,0,3253706248.000000,0.069956,1,1.1,-1,-1,30,462,150
0,5,0,2083976678.000000,0.072357,1,1.1,-1,-1,30,462,150
7,0,0,3717317406.000000,0.041987,-1,-1,1,2,50,7,150
7,0,0,2099640980.000000,0.041399,-1,-1,1,2,50,462,150
7,0,0,3658166712.000000,0.041127,-1,-1,1,2,50,462,150
7,0,0,3751254010.000000,0.040650,-1,-1,1,2,50,462,150
7,0,0,3336068585.000000,0.039832,-1,-1,1,2,50,462,150
7,0,0,2690310759.000000,0.070009,3,3.01,1,2,50,462,150
7,0,0,2136466233.000000,0.082425,3,3.01,1,2,50,462,150
7,0,0,1692101674.000000,0.082109,3,3.01,1,2,50,462,150
8,0,0,3559180127.000000,0.098130,3,3.01,1,2,50,462,150
8,0,0,1829910376.000000,0.098756,3,3.01,1,2,50,462,150
7,0,0,2396841232.000000,0.083352,2,2.01,1,2,50,462,150
8,0,0,2619680380.000000,0.079248,2,2.01,1,2,50,462,150
7,0,0,3255621494.000000,0.079419,2,2.01,1,2,50,462,150
7,0,0,2316308007.000000,0.095560,2,2.01,1,2,50,462,150
8,0,0,3233236302.000000,0.077670,2,2.01,1,2,50,462,150
7,0,0,2071363443.000000,0.079710,1.5,1.51,1,2,50,462,150
7,0,0,2189666887.000000,0.077720,1.5,1.51,1,2,50,462,150
7,0,0,2826307037.000000,0.068176,1.5,1.51,1,2,50,462,150
7,0,0,2155965852.000000,0.097805,1.5,1.51,1,2,50,462,150
7,0,0,3221573329.000000,0.097183,1.5,1.51,1,2,50,462,150
3,2,0,3402028568.000000,0.073165,1.2,1.21,1,2,50,462,150
5,1,0,3223020578.000000,0.077447,1.2,1.21,1,2,50,462,150
3,2,0,1894864571.000000,0.077440,1.2,1.21,1,2,50,462,150
5,1,0,2394328724.000000,0.076577,1.2,1.21,1,2,50,462,150
5,1,0,3517673299.000000,0.074874,1.2,1.21,1,2,50,462,150
3,2,0,2427867901.000000,0.070195,1.1,1.11,1,2,50,462,150
3,2,0,3289062019.000000,0.071789,1.1,1.11,1,2,50,462,150
2,2,1,3094336298.000000,0.071792,1.1,1.11,1,2,50,462,150
2,3,0,3523098628.000000,0.071576,1.1,1.11,1,2,50,462,150
-3,-2,-1,1684240039.000000,0.076133,1.1,1.11,1,2,50,462,150
3,2,0,1722719266.000000,0.076208,1,1.01,1,2,50,462,150
3,2,0,3794341179.000000,0.074365,1,1.01,1,2,50,462,150
0,5,0,1724266777.000000,0.072082,1,1.01,1,2,50,462,150
1,3,1,2788712879.000000,0.073045,1,1.01,1,2,50,462,150
0,3,2,2525810885.000000,0.072092,1,1.01,1,2,50,462,150
0,4,1,2804388399.000000,0.073704,0.9,0.91,1,2,50,462,150
0,5,0,3095984896.000000,0.072466,0.9,0.91,1,2,50,462,150
0,5,0,2706177999.000000,0.072607,0.9,0.91,1,2,50,462,150
0,4,1,2979026219.000000,0.074061,0.9,0.91,1,2,50,462,150
1,4,0,2353761360.000000,0.072256,0.9,0.91,1,2,50,462,150
0,4,1,2024510225.000000,0.073502,0.7,0.71,1,2,50,462,150
0,5,0,2170764353.000000,0.075722,0.7,0.71,1,2,50,462,150
0,4,1,3118405032.000000,0.073045,0.7,0.71,1,2,50,462,150
0,4,1,3365541069.000000,0.072326,0.7,0.71,1,2,50,462,150
0,5,0,2713284590.000000,0.072340,0.7,0.71,1,2,50,462,150
0,3,2,3591778841.000000,0.077208,0.5,0.51,1,2,50,462,150
0,3,2,3421612843.000000,0.073131,0.5,0.51,1,2,50,462,150
0,4,1,3529052049.000000,0.075415,0.5,0.51,1,2,50,462,150
0,4,1,3738338301.000000,0.070820,0.5,0.51,1,2,50,462,150
0,4,1,2241820056.000000,0.074691,0.5,0.51,1,2,50,462,150
0,5,0,3006402086.000000,0.070116,0.3,0.31,1,2,50,462,150
0,4,1,3453986998.000000,0.072344,0.3,0.31,1,2,50,462,150
0,5,0,3608841399.000000,0.074550,0.3,0.31,1,2,50,462,150
0,4,1,2487999865.000000,0.072499,0.3,0.31,1,2,50,462,150
0,5,0,3486490913.000000,0.072197,0.3,0.31,1,2,50,462,150
0,5,0,2304688308.000000,0.073328,0.1,0.11,1,2,50,462,150
0,4,1,3511533376.000000,0.071393,0.1,0.11,1,2,50,462,150
0,4,1,3384168002.000000,0.074761,0.1,0.11,1,2,50,462,150
0,4,1,2198021072.000000,0.074807,0.1,0.11,1,2,50,462,150
0,4,1,2453293064.000000,0.073539,0.1,0.11,1,2,50,462,150
0,5,0,3154048549.000000,0.072217,0.01,0.02,1,2,50,462,150
0,5,0,2901277174.000000,0.073570,0.01,0.02,1,2,50,462,150
0,4,1,2646573862.000000,0.070820,0.01,0.02,1,2,50,462,150
0,5,0,3229434085.000000,0.075263,0.01,0.02,1,2,50,462,150
0,5,0,3374584796.000000,0.073274,0.01,0.02,1,2,50,462,150
0,5,0,3769649663.000000,0.071482,1,1.1,-1,-1,50,462,150
0,3,2,3708276944.000000,0.071676,1,1.1,-1,-1,50,462,150
0,5,0,2520048623.000000,0.073968,1,1.1,-1,-1,50,462,150
0,5,0,2323100651.000000,0.069659,1,1.1,-1,-1,50,462,150
0,4,1,2723766400.000000,0.070399,1,1.1,-1,-1,50,462,150
7,0,0,3517688739.000000,0.040996,-1,-1,1,2,100,7,150
7,0,0,2699963787.000000,0.041401,-1,-1,1,2,100,462,150
7,0,0,2412901195.000000,0.041554,-1,-1,1,2,100,462,150
7,0,0,2312580791.000000,0.040984,-1,-1,1,2,100,462,150
7,0,0,2679219362.000000,0.043948,-1,-1,1,2,100,462,150
7,0,0,2501122328.000000,0.096463,3,3.01,1,2,100,462,150
7,0,0,3351840630.000000,0.085837,3,3.01,1,2,100,462,150
7,0,0,2551039173.000000,0.083019,3,3.01,1,2,100,462,150
7,0,0,2706416651.000000,0.079270,3,3.01,1,2,100,462,150
7,0,0,1987015110.000000,0.097781,3,3.01,1,2,100,462,150
7,0,0,2283314631.000000,0.094735,2,2.01,1,2,100,462,150
7,0,0,3385804775.000000,0.097755,2,2.01,1,2,100,462,150
7,0,0,1853101868.000000,0.095351,2,2.01,1,2,100,462,150
7,0,0,1903420238.000000,0.096632,2,2.01,1,2,100,462,150
7,0,0,3667791170.000000,0.096298,2,2.01,1,2,100,462,150
7,0,0,3691814712.000000,0.217716,1.5,1.51,1,2,100,462,150
7,0,0,1701855902.000000,0.096805,1.5,1.51,1,2,100,462,150
7,0,0,1999719738.000000,0.097802,1.5,1.51,1,2,100,462,150
7,0,0,3217061715.000000,0.079759,1.5,1.51,1,2,100,462,150
7,0,0,2722026182.000000,0.080022,1.5,1.51,1,2,100,462,150
5,1,0,2195821141.000000,0.077310,1.2,1.21,1,2,100,462,150
5,1,0,3094445687.000000,0.074580,1.2,1.21,1,2,100,462,150
5,1,0,3388484251.000000,0.075638,1.2,1.21,1,2,100,462,150
5,1,0,2112370131.000000,0.075454,1.2,1.21,1,2,100,462,150
5,1,0,1843987007.000000,0.076043,1.2,1.21,1,2,100,462,150
3,2,0,2543504460.000000,0.073316,1.1,1.11,1,2,100,462,150
3,2,0,1824336888.000000,0.074083,1.1,1.11,1,2,100,462,150
3,2,0,2980358257.000000,0.073266,1.1,1.11,1,2,100,462,150
5,1,0,3179594716.000000,0.075829,1.1,1.11,1,2,100,462,150
3,2,0,2661279729.000000,0.072882,1.1,1.11,1,2,100,462,150
2,3,0,2311966096.000000,0.074106,1,1.01,1,2,100,462,150
1,3,1,3224733685.000000,0.072061,1,1.01,1,2,100,462,150
2,3,0,1954743332.000000,0.073271,1,1.01,1,2,100,462,150
2,3,0,2528186148.000000,0.072206,1,1.01,1,2,100,462,150
2,3,0,3432474778.000000,0.073659,1,1.01,1,2,100,462,150
0,4,1,2995270678.000000,0.074847,0.9,0.91,1,2,100,462,150
0,3,2,1959320084.000000,0.073008,0.9,0.91,1,2,100,462,150
1,3,1,2608334407.000000,0.073959,0.9,0.91,1,2,100,462,150
0,5,0,3402789671.000000,0.072900,0.9,0.91,1,2,100,462,150
0,5,0,2325771957.000000,0.073478,0.9,0.91,1,2,100,462,150
0,4,1,2224184552.000000,0.078189,0.7,0.71,1,2,100,462,150
0,4,1,2948734092.000000,0.073662,0.7,0.71,1,2,100,462,150
0,3,2,3015858469.000000,0.071587,0.7,0.71,1,2,100,462,150
0,5,0,2063406838.000000,0.072444,0.7,0.71,1,2,100,462,150
0,4,1,3693909965.000000,0.073842,0.7,0.71,1,2,100,462,150
0,3,2,2203950714.000000,0.072382,0.5,0.51,1,2,100,462,150
0,5,0,2154755770.000000,0.075376,0.5,0.51,1,2,100,462,150
0,5,0,3538922090.000000,0.071222,0.5,0.51,1,2,100,462,150
0,5,0,3112787598.000000,0.071236,0.5,0.51,1,2,100,462,150
0,4,1,3395598676.000000,0.074088,0.5,0.51,1,2,100,462,150
0,4,1,1897495577.000000,0.071776,0.3,0.31,1,2,100,462,150
0,4,1,2289739885.000000,0.073742,0.3,0.31,1,2,100,462,150
0,4,1,2269988299.000000,0.071851,0.3,0.31,1,2,100,462,150
0,5,0,3595267753.000000,0.071952,0.3,0.31,1,2,100,462,150
0,5,0,3555186511.000000,0.073944,0.3,0.31,1,2,100,462,150
0,5,0,2728963364.000000,0.072288,0.1,0.11,1,2,100,462,150
0,5,0,2252615107.000000,0.072899,0.1,0.11,1,2,100,462,150
0,4,1,3067369417.000000,0.071118,0.1,0.11,1,2,100,462,150
0,4,1,2050821792.000000,0.074121,0.1,0.11,1,2,100,462,150
0,4,1,3288541630.000000,0.074988,0.1,0.11,1,2,100,462,150
0,5,0,2761221225.000000,0.073378,0.01,0.02,1,2,100,462,150
0,4,1,3655001959.000000,0.071195,0.01,0.02,1,2,100,462,150
0,5,0,3106026219.000000,0.074736,0.01,0.02,1,2,100,462,150
0,4,1,3488210685.000000,0.072548,0.01,0.02,1,2,100,462,150
0,5,0,3149797870.000000,0.073302,0.01,0.02,1,2,100,462,150
0,5,0,3531999028.000000,0.071368,1,1.1,-1,-1,100,462,150
0,5,0,1950372935.000000,0.084141,1,1.1,-1,-1,100,462,150
0,5,0,3090197356.000000,0.070819,1,1.1,-1,-1,100,462,150
0,4,1,2390537985.000000,0.077719,1,1.1,-1,-1,100,462,150
0,5,0,2159845533.000000,0.072144,1,1.1,-1,-1,100,462,150
7,0,0,2848520370.000000,0.041878,-1,-1,1,2,30,7,150
7,0,0,1848585608.000000,0.041329,-1,-1,1,2,30,462,150
7,0,0,1794821971.000000,0.040861,-1,-1,1,2,30,462,150
7,0,0,1779256989.000000,0.042926,-1,-1,1,2,30,462,150
7,0,0,3096514920.000000,0.040976,-1,-1,1,2,30,462,150
7,0,0,2446660434.000000,0.084141,3,3.01,1,2,30,462,150
9,0,0,3089819722.000000,0.072894,3,3.01,1,2,30,462,150
7,0,0,1836958572.000000,0.085725,3,3.01,1,2,30,462,150
7,0,0,2413774430.000000,0.096572,3,3.01,1,2,30,462,150
8,0,0,1922562253.000000,0.080294,3,3.01,1,2,30,462,150
7,0,0,1792538462.000000,0.066087,2,2.01,1,2,30,462,150
7,0,0,1712916506.000000,0.082265,2,2.01,1,2,30,462,150
7,0,0,2290073074.000000,0.097791,2,2.01,1,2,30,462,150
8,0,0,3188683276.000000,0.078056,2,2.01,1,2,30,462,150
7,0,0,1793335301.000000,0.065808,2,2.01,1,2,30,462,150
7,0,0,3005485964.000000,0.082566,1.5,1.51,1,2,30,462,150
9,0,0,2306668539.000000,0.088004,1.5,1.51,1,2,30,462,150
7,0,0,2538902100.000000,0.063861,1.5,1.51,1,2,30,462,150
7,0,0,2168682503.000000,0.071928,1.5,1.51,1,2,30,462,150
7,0,0,3626592165.000000,0.065908,1.5,1.51,1,2,30,462,150
6,1,0,3168645959.000000,0.075803,1.2,1.21,1,2,30,462,150
7,0,0,1668699064.000000,0.085951,1.2,1.21,1,2,30,462,150
5,1,0,3535859861.000000,0.084144,1.2,1.21,1,2,30,462,150
6,1,0,1764820521.000000,0.068614,1.2,1.21,1,2,30,462,150
3,3,0,3114336056.000000,0.068734,1.2,1.21,1,2,30,462,150
3,2,0,2585253512.000000,0.071642,1.1,1.11,1,2,30,462,150
-4,-3,0,2831557380.000000,0.087215,1.1,1.11,1,2,30,462,150
-3,-2,-1,2078924076.000000,0.080238,1.1,1.11,1,2,30,462,150
5,1,0,2704704519.000000,0.073299,1.1,1.11,1,2,30,462,150
-3,-1,-2,3206169212.000000,0.073707,1.1,1.11,1,2,30,462,150
1,4,0,3630988966.000000,0.082743,1,1.01,1,2,30,462,150
4,2,0,1788249764.000000,0.078749,1,1.01,1,2,30,462,150
2,2,1,2477822892.000000,0.071864,1,1.01,1,2,30,462,150
2,3,0,3204727317.000000,0.073649,1,1.01,1,2,30,462,150
4,2,0,3794575812.000000,0.075118,1,1.01,1,2,30,462,150
0,4,1,3131402129.000000,0.074001,0.9,0.91,1,2,30,462,150
0,4,1,3415339382.000000,0.075439,0.9,0.91,1,2,30,462,150
-2,-3,-1,2131213725.000000,0.073469,0.9,0.91,1,2,30,462,150
2,3,0,2048239027.000000,0.076517,0.9,0.91,1,2,30,462,150
0,4,1,2033039016.000000,0.074109,0.9,0.91,1,2,30,462,150
0,4,1,2431601900.000000,0.073050,0.7,0.71,1,2,30,462,150
1,3,1,3545164383.000000,0.074276,0.7,0.71,1,2,30,462,150
0,5,0,2316050561.000000,0.072406,0.7,0.71,1,2,30,462,150
0,3,2,2343101994.000000,0.075008,0.7,0.71,1,2,30,462,150
0,3,2,2925124476.000000,0.073854,0.7,0.71,1,2,30,462,150
0,4,1,2995565669.000000,0.075944,0.5,0.51,1,2,30,462,150
-1,-3,-2,3050794536.000000,0.094222,0.5,0.51,1,2,30,462,150
0,3,2,2755419286.000000,0.072933,0.5,0.51,1,2,30,462,150
0,4,1,2692573793.000000,0.074425,0.5,0.51,1,2,30,462,150
0,4,1,1861190049.000000,0.073001,0.5,0.51,1,2,30,462,150
0,4,1,1965655801.000000,0.073997,0.3,0.31,1,2,30,462,150
-1,-3,-2,2396953931.000000,0.078779,0.3,0.31,1,2,30,462,150
0,5,0,1813539859.000000,0.072220,0.3,0.31,1,2,30,462,150
0,4,1,1900619321.000000,0.074294,0.3,0.31,1,2,30,462,150
0,5,0,2210274775.000000,0.075722,0.3,0.31,1,2,30,462,150
0,4,1,3165700881.000000,0.071735,0.1,0.11,1,2,30,462,150
0,5,0,3158351447.000000,0.072574,0.1,0.11,1,2,30,462,150
0,3,2,3637972925.000000,0.076272,0.1,0.11,1,2,30,462,150
0,3,2,2381415137.000000,0.075989,0.1,0.11,1,2,30,462,150
0,4,1,2024879497.000000,0.071771,0.1,0.11,1,2,30,462,150
0,4,1,3042629484.000000,0.075225,0.01,0.02,1,2,30,462,150
0,4,1,2371593037.000000,0.072965,0.01,0.02,1,2,30,462,150
0,5,0,2832145847.000000,0.075798,0.01,0.02,1,2,30,462,150
0,4,1,2267602433.000000,0.074662,0.01,0.02,1,2,30,462,150
0,3,2,1772226426.000000,0.073474,0.01,0.02,1,2,30,462,150
0,4,1,2548278927.000000,0.072900,1,1.1,-1,-1,30,462,150
0,5,0,3204561729.000000,0.069735,1,1.1,-1,-1,30,462,150
0,5,0,2852942828.000000,0.071236,1,1.1,-1,-1,30,462,150
0,5,0,3003713006.000000,0.073724,1,1.1,-1,-1,30,462,150
0,5,0,1832327261.000000,0.072253,1,1.1,-1,-1,30,462,150
7,0,0,2648891703.000000,0.041022,-1,-1,1,2,50,7,150
7,0,0,2702885266.000000,0.041466,-1,-1,1,2,50,462,150
7,0,0,2601204541.000000,0.039850,-1,-1,1,2,50,462,150
7,0,0,2410107074.000000,0.041291,-1,-1,1,2,50,462,150
7,0,0,2694461947.000000,0.041338,-1,-1,1,2,50,462,150
7,0,0,2692219515.000000,0.081149,3,3.01,1,2,50,462,150
8,0,0,3547680217.000000,0.095288,3,3.01,1,2,50,462,150
9,0,0,3433216876.000000,0.086807,3,3.01,1,2,50,462,150
8,0,0,2021219893.000000,0.081321,3,3.01,1,2,50,462,150
7,0,0,2283881021.000000,0.096825,3,3.01,1,2,50,462,150
7,0,0,1956239076.000000,0.078482,2,2.01,1,2,50,462,150
8,0,0,1990601470.000000,0.082332,2,2.01,1,2,50,462,150
7,0,0,2590761006.000000,0.084246,2,2.01,1,2,50,462,150
7,0,0,3683610899.000000,0.071932,2,2.01,1,2,50,462,150
8,0,0,2737939178.000000,0.082417,2,2.01,1,2,50,462,150
7,0,0,3782252738.000000,0.085787,1.5,1.51,1,2,50,462,150
7,0,0,2738315592.000000,0.098029,1.5,1.51,1,2,50,462,150
7,0,0,3703695225.000000,0.081771,1.5,1.51,1,2,50,462,150
7,0,0,2715682378.000000,0.095879,1.5,1.51,1,2,50,462,150
7,0,0,3047031861.000000,0.096487,1.5,1.51,1,2,50,462,150
5,1,0,2036143608.000000,0.088638,1.2,1.21,1,2,50,462,150
5,1,0,3523592125.000000,0.077138,1.2,1.21,1,2,50,462,150
5,1,0,2598614810.000000,0.079031,1.2,1.21,1,2,50,462,150
5,1,0,2907280412.000000,0.076631,1.2,1.21,1,2,50,462,150
3,2,0,2655811445.000000,0.073710,1.2,1.21,1,2,50,462,150
2,2,1,3015565550.000000,0.072956,1.1,1.11,1,2,50,462,150
3,2,0,2222925165.000000,0.075771,1.1,1.11,1,2,50,462,150
3,2,0,3762033335.000000,0.072954,1.1,1.11,1,2,50,462,150
2,3,0,2512163851.000000,0.074393,1.1,1.11,1,2,50,462,150
4,2,0,2743612204.000000,0.080024,1.1,1.11,1,2,50,462,150
1,2,2,2025582207.000000,0.072563,1,1.01,1,2,50,462,150
2,3,0,3140682391.000000,0.072323,1,1.01,1,2,50,462,150
2,3,0,2163274460.000000,0.072395,1,1.01,1,2,50,462,150
2,3,0,3543793246.000000,0.076304,1,1.01,1,2,50,462,150
1,4,0,2453080215.000000,0.072236,1,1.01,1,2,50,462,150
1,3,1,2868362283.000000,0.074214,0.9,0.91,1,2,50,462,150
-1,-4,-1,1750818739.000000,0.080077,0.9,0.91,1,2,50,462,150
