recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
28,0,0,2881724341.000000,0.138540,-1,-1,1,2,30,28,150
26,0,0,3684660556.000000,0.735495,-1,-1,1,2,30,26,150
30,0,0,2766578113.000000,0.147239,-1,-1,1,2,30,756,150
25,0,0,3424931306.000000,0.130565,-1,-1,1,2,30,25,150
27,0,0,1795688521.000000,0.379238,-1,-1,1,2,30,756,150
-25,-1,0,2318033562.000000,0.447471,3,3.01,1,2,30,756,150
-25,0,-3,2101808829.000000,0.543742,3,3.01,1,2,30,756,150
-25,-3,-2,3041072008.000000,0.637759,3,3.01,1,2,30,756,150
-25,-1,-4,3524594446.000000,0.653336,3,3.01,1,2,30,756,150
-25,-2,-2,2980720021.000000,0.530222,3,3.01,1,2,30,756,150
-25,-2,-3,2491231106.000000,0.555716,2,2.01,1,2,30,756,150
-25,-8,-10,2662237077.000000,0.902130,2,2.01,1,2,30,756,150
-25,-6,-7,3440166735.000000,0.653298,2,2.01,1,2,30,756,150
-25,-6,-1,3394025474.000000,0.532214,2,2.01,1,2,30,756,150
-25,-5,-4,2866132383.000000,0.662071,2,2.01,1,2,30,756,150
-25,-16,-16,3509167312.000000,1.199576,1.5,1.51,1,2,30,756,150
-25,-9,-12,3080943984.000000,0.804581,1.5,1.51,1,2,30,756,150
-25,-5,-11,3715080318.000000,0.827332,1.5,1.51,1,2,30,756,150
-25,-3,-9,3642129605.000000,0.747585,1.5,1.51,1,2,30,756,150
-25,-3,-14,3260953059.000000,0.720851,1.5,1.51,1,2,30,756,150
-25,-14,-20,1767347514.000000,1.421553,1.2,1.21,1,2,30,756,150
23,6,18,3733152244.000000,0.759089,1.2,1.21,1,2,30,756,150
-23,-14,-28,3339749247.000000,1.364269,1.2,1.21,1,2,30,756,150
-25,-11,-13,3687401569.000000,0.675670,1.2,1.21,1,2,30,756,150
-25,-12,-9,2403440493.000000,1.066544,1.2,1.21,1,2,30,756,150
-23,-15,-15,2714259270.000000,1.269976,1.1,1.11,1,2,30,756,150
-23,-17,-10,2084489287.000000,1.031732,1.1,1.11,1,2,30,756,150
-23,-14,-32,3244805993.000000,1.569051,1.1,1.11,1,2,30,756,150
-23,-17,-31,2609340598.000000,1.232683,1.1,1.11,1,2,30,756,150
19,14,13,3405574978.000000,0.746633,1.1,1.11,1,2,30,756,150
-19,-31,-27,1846990906.000000,2.073166,1,1.01,1,2,30,756,150
-19,-16,-15,3584461698.000000,0.808591,1,1.01,1,2,30,756,150
-23,-6,-19,2673754481.000000,0.835992,1,1.01,1,2,30,756,150
-20,-18,-26,1694679665.000000,1.170436,1,1.01,1,2,30,756,150
-20,-26,-40,1903991209.000000,2.106028,1,1.01,1,2,30,756,150
-19,-33,-36,2068524560.000000,1.464412,0.9,0.91,1,2,30,756,150
16,22,35,2046457212.000000,1.142543,0.9,0.91,1,2,30,756,150
-16,-20,-46,3590551031.000000,1.294351,0.9,0.91,1,2,30,756,150
-17,-25,-33,2421316930.000000,1.617318,0.9,0.91,1,2,30,756,150
-16,-30,-28,2536712516.000000,1.551759,0.9,0.91,1,2,30,756,150
-12,-59,-92,1994440921.000000,2.997060,0.7,0.71,1,2,30,756,150
-4,-100,-51,3266000916.000000,4.255514,0.5,0.51,1,2,30,756,150
-1,-115,-36,1804060654.000000,2.803950,0.3,0.31,1,2,30,756,150
-1,-100,-51,1760584591.000000,4.375021,0.1,0.11,1,2,30,756,150
0,-97,-54,3398303581.000000,3.543620,0.01,0.02,1,2,30,756,150
0,-124,-27,3001741901.000000,2.434742,1,1.1,-1,-1,30,756,150
22,0,0,3612434643.000000,0.134014,-1,-1,1,2,50,22,150
23,0,0,3338213324.000000,0.201913,-1,-1,1,2,50,756,150
25,0,0,2962835746.000000,0.240562,-1,-1,1,2,50,756,150
22,0,0,1980895425.000000,0.188090,-1,-1,1,2,50,756,150
25,0,0,1801437093.000000,0.322181,-1,-1,1,2,50,756,150
-26,0,-1,2413260079.000000,0.460502,3,3.01,1,2,50,756,150
-29,0,-1,3782228307.000000,0.443004,3,3.01,1,2,50,756,150
52,0,0,3260555697.000000,0.734814,3,3.01,1,2,50,756,150
-29,-1,0,1740772178.000000,0.459645,3,3.01,1,2,50,756,150
49,0,0,2133073732.000000,0.548527,3,3.01,1,2,50,756,150
-22,-3,-2,1826677656.000000,0.508527,2,2.01,1,2,50,756,150
-23,-2,-2,1785516992.000000,0.452352,2,2.01,1,2,50,756,150
-22,-2,0,2631788419.000000,0.378414,2,2.01,1,2,50,756,150
-22,-4,-1,3721382582.000000,0.419852,2,2.01,1,2,50,756,150
-23,-1,-2,1892957606.000000,0.520093,2,2.01,1,2,50,756,150
-22,-3,-4,2661856412.000000,0.774667,1.5,1.51,1,2,50,756,150
21,4,1,2205797674.000000,0.368625,1.5,1.51,1,2,50,756,150
-21,-5,-1,2015087986.000000,0.543752,1.5,1.51,1,2,50,756,150
-21,-3,-5,2475190262.000000,0.541790,1.5,1.51,1,2,50,756,150
-21,-3,-5,2486433544.000000,0.567337,1.5,1.51,1,2,50,756,150
-21,-7,-12,1930954891.000000,0.655538,1.2,1.21,1,2,50,756,150
-21,-13,-11,2281108188.000000,0.990690,1.2,1.21,1,2,50,756,150
19,10,9,2873640295.000000,0.675824,1.2,1.21,1,2,50,756,150
16,7,5,1658390316.000000,0.489179,1.2,1.21,1,2,50,756,150
-16,-5,-9,2623031153.000000,0.524182,1.2,1.21,1,2,50,756,150
-16,-22,-15,2565641513.000000,0.977417,1.1,1.11,1,2,50,756,150
-16,-11,-24,2306630833.000000,0.771477,1.1,1.11,1,2,50,756,150
-16,-10,-25,2795548937.000000,0.710112,1.1,1.11,1,2,50,756,150
-16,-6,-12,3629720676.000000,0.481826,1.1,1.11,1,2,50,756,150
-16,-9,-11,3409703296.000000,0.579968,1.1,1.11,1,2,50,756,150
-16,-9,-14,3603730381.000000,0.704879,1,1.01,1,2,50,756,150
-16,-21,-15,2635006010.000000,1.056376,1,1.01,1,2,50,756,150
-16,-8,-11,3359883011.000000,0.516618,1,1.01,1,2,50,756,150
-16,-16,-20,3575707923.000000,1.052591,1,1.01,1,2,50,756,150
-16,-21,-20,3530985264.000000,1.127521,1,1.01,1,2,50,756,150
-16,-35,-57,3369851504.000000,1.945296,0.9,0.91,1,2,50,756,150
13,18,15,2095762704.000000,0.945984,0.9,0.91,1,2,50,756,150
-13,-22,-41,1968585577.000000,1.525200,0.9,0.91,1,2,50,756,150
-13,-22,-13,3368169509.000000,0.791544,0.9,0.91,1,2,50,756,150
-13,-39,-36,2486821872.000000,2.226638,0.9,0.91,1,2,50,756,150
-5,-94,-57,1649874289.000000,3.843931,0.7,0.71,1,2,50,756,150
5,45,26,3364551352.000000,1.170527,0.5,0.51,1,2,50,756,150
3,57,39,2956384939.000000,1.394293,0.5,0.51,1,2,50,756,150
-1,-116,-35,2278629353.000000,2.079141,0.5,0.51,1,2,50,756,150
-1,-105,-46,3191490659.000000,3.056046,0.3,0.31,1,2,50,756,150
-1,-96,-55,2931997578.000000,3.630925,0.1,0.11,1,2,50,756,150
0,-97,-54,2671196457.000000,2.828409,0.01,0.02,1,2,50,756,150
0,-120,-31,3525163857.000000,2.241356,1,1.1,-1,-1,50,756,150
26,0,0,2984489628.000000,0.225027,-1,-1,1,2,100,26,150
24,0,0,2075263077.000000,0.117101,-1,-1,1,2,100,24,150
23,0,0,3653103174.000000,0.219282,-1,-1,1,2,100,23,150
23,0,0,3174869342.000000,0.252945,-1,-1,1,2,100,756,150
27,0,0,2678902066.000000,0.161758,-1,-1,1,2,100,756,150
27,0,0,1860907069.000000,0.527419,3,3.01,1,2,100,756,150
36,0,0,3651710145.000000,0.632031,3,3.01,1,2,100,756,150
26,0,0,3755291976.000000,0.414538,3,3.01,1,2,100,756,150
29,0,0,2888809840.000000,1.079543,3,3.01,1,2,100,756,150
27,0,0,3570320997.000000,0.515039,3,3.01,1,2,100,756,150
23,0,0,1939922233.000000,0.443178,2,2.01,1,2,100,756,150
27,0,0,2667936978.000000,0.709882,2,2.01,1,2,100,756,150
-23,-1,0,3599212693.000000,0.553010,2,2.01,1,2,100,756,150
-23,0,-1,2933164507.000000,0.455551,2,2.01,1,2,100,756,150
-24,0,-1,2937771029.000000,0.687939,2,2.01,1,2,100,756,150
22,1,0,1867519254.000000,0.438519,1.5,1.51,1,2,100,756,150
22,1,0,3329343468.000000,0.512676,1.5,1.51,1,2,100,756,150
-23,-1,0,2413309961.000000,0.392042,1.5,1.51,1,2,100,756,150
-22,-1,-3,2882093368.000000,0.554908,1.5,1.51,1,2,100,756,150
19,2,0,2254684369.000000,0.447737,1.5,1.51,1,2,100,756,150
-19,-3,-3,3455349071.000000,0.396520,1.2,1.21,1,2,100,756,150
-19,-4,-2,1705276792.000000,0.439748,1.2,1.21,1,2,100,756,150
-19,-1,-2,3547674344.000000,1.409882,1.2,1.21,1,2,100,756,150
-19,-1,-2,2048120418.000000,0.431583,1.2,1.21,1,2,100,756,150
15,4,1,2942354827.000000,0.367802,1.2,1.21,1,2,100,756,150
-15,-3,-9,3394977075.000000,0.645620,1.1,1.11,1,2,100,756,150
-15,-3,-4,2750664742.000000,0.380033,1.1,1.11,1,2,100,756,150
-15,-6,-7,3454307004.000000,0.499239,1.1,1.11,1,2,100,756,150
-15,-7,-3,1858807463.000000,0.457144,1.1,1.11,1,2,100,756,150
-15,-7,-6,3112587585.000000,0.582293,1.1,1.11,1,2,100,756,150
11,6,17,2307717626.000000,0.681614,1,1.01,1,2,100,756,150
11,4,11,3664188212.000000,0.426677,1,1.01,1,2,100,756,150
-11,-6,-10,3244318897.000000,0.518398,1,1.01,1,2,100,756,150
-11,-20,-10,3255853093.000000,0.670996,1,1.01,1,2,100,756,150
-11,-14,-8,2794570749.000000,0.698743,1,1.01,1,2,100,756,150
-11,-81,-48,3491456695.000000,3.602856,0.9,0.91,1,2,100,756,150
4,23,7,1931225278.000000,0.462918,0.9,0.91,1,2,100,756,150
-4,-27,-11,2629913878.000000,0.871856,0.9,0.91,1,2,100,756,150
-4,-40,-24,3233038459.000000,1.308687,0.9,0.91,1,2,100,756,150
-4,-26,-6,2725652428.000000,0.639378,0.9,0.91,1,2,100,756,150
-4,-91,-33,2585121022.000000,1.750864,0.7,0.71,1,2,100,756,150
