recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
469,90,586,1594,2.394593,0.9,1,1
503,87,570,2064466540,2.414917,0.9,1,1
473,73,600,991713420,2.721555,0.9,1,1
474,72,592,1900211501,2.502485,0.9,1,1
462,76,600,248232800,2.561451,0.9,1,1
459,94,587,157524332,2.465739,0.9,1,1
502,65,600,743051306,2.639278,0.9,1,1
520,63,582,1524917607,2.708052,0.9,1,1
506,72,580,1067564633,2.577242,0.9,1,1
473,81,587,1773522250,2.473270,0.9,1,1
471,80,596,557332013,2.402676,0.9,1,1
509,69,586,522734497,2.695201,0.9,1,1
471,81,582,1292925798,2.067949,0.9,1,1
498,68,602,1895078452,2.267826,0.9,1,1
452,83,602,24125685,2.137952,0.9,1,1
94,151,835,24125685,0.940744,1,1,1
93,175,809,1492484135,1.074322,1,1,1
75,172,832,378309489,1.032407,1,1,1
82,160,839,1361255917,0.939432,1,1,1
80,166,812,1514228639,0.935718,1,1,1
93,168,807,777308023,0.927803,1,1,1
88,169,824,29320909,1.105544,1,1,1
86,161,835,656925271,1.021637,1,1,1
83,165,832,970660245,0.916826,1,1,1
91,142,828,1349926099,0.885194,1,1,1
93,159,817,981315877,0.986318,1,1,1
95,148,825,272338265,0.964540,1,1,1
88,172,832,375073813,1.188238,1,1,1
92,172,828,723055766,0.963951,1,1,1
89,157,834,946477420,1.086447,1,1,1
89,157,831,946477420,1.013058,1.1,1,1
91,170,834,332892306,0.955081,1.1,1,1
104,161,824,89176341,1.074294,1.1,1,1
82,159,819,413767276,1.031353,1.1,1,1
76,181,817,632519134,1.055526,1.1,1,1
82,157,815,1277632913,0.802762,1.1,1,1
75,164,838,1955837472,0.997309,1.1,1,1
72,167,825,674487923,0.810744,1.1,1,1
86,156,822,1457793987,0.896506,1.1,1,1
95,151,841,1058174762,1.113575,1.1,1,1
87,158,821,829454179,0.916753,1.1,1,1
94,157,828,432910920,0.935522,1.1,1,1
105,164,810,2127708883,1.078065,1.1,1,1
81,161,828,2144679363,0.881183,1.1,1,1
83,159,841,1376327459,0.952334,1.1,1,1
519,59,606,1376327459,2.675817,0.9,1,1.3
485,72,600,1102711902,2.350007,0.9,1,1.3
496,78,582,395365903,2.677878,0.9,1,1.3
485,70,611,1832322807,3.350525,0.9,1,1.3
474,58,607,395280746,3.520640,0.9,1,1.3
469,71,619,1795929806,3.620835,0.9,1,1.3
505,65,600,366019488,3.247695,0.9,1,1.3
511,57,590,588015218,3.540127,0.9,1,1.3
501,73,593,1029526656,2.948247,0.9,1,1.3
547,68,575,2104294958,3.041731,0.9,1,1.3
543,58,586,2014091361,2.981871,0.9,1,1.3
473,56,601,1082329705,2.500262,0.9,1,1.3
547,62,579,1792407834,2.831911,0.9,1,1.3
482,58,593,322740562,3.080607,0.9,1,1.3
470,59,618,849857833,3.237304,0.9,1,1.3
172,57,873,849857833,1.429071,1,1,1.3
172,68,854,1880568701,1.324551,1,1,1.3
174,58,859,321621203,1.438017,1,1,1.3
188,61,847,126416668,1.448365,1,1,1.3
176,55,866,971406655,1.618821,1,1,1.3
183,60,856,2092777597,1.586652,1,1,1.3
159,59,875,253865710,1.173091,1,1,1.3
180,55,864,1919422359,1.565843,1,1,1.3
200,56,854,1783369346,1.518104,1,1,1.3
195,54,853,1632974808,1.397867,1,1,1.3
174,74,856,1215241827,1.295765,1,1,1.3
180,64,829,2014343424,1.512468,1,1,1.3
189,66,836,1088777028,1.322134,1,1,1.3
147,56,873,2001680600,1.184562,1,1,1.3
193,58,863,762192320,1.195892,1,1,1.3
