recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
1049,102,1404,1170,12.498744,0.9,1,1.1
1060,145,1389,590454222,15.028672,0.9,1,1.1
1060,144,1412,136394617,16.584034,0.9,1,1.1
1059,114,1418,1920190296,15.414526,0.9,1,1.1
984,120,1430,768736798,12.345686,0.9,1,1.1
1052,125,1419,1873802290,15.926698,0.9,1,1.1
1072,120,1423,2009747396,15.460642,0.9,1,1.1
1052,130,1392,978888442,15.719965,0.9,1,1.1
1089,119,1400,1157975633,16.164148,0.9,1,1.1
1095,123,1400,1247863240,16.816021,0.9,1,1.1
410,105,1970,1247863240,7.287788,1,1,1.1
380,130,1963,2103090830,6.996652,1,1,1.1
398,108,1964,867594361,6.617480,1,1,1.1
404,115,1947,2120413002,6.594817,1,1,1.1
363,109,1990,882600253,6.408616,1,1,1.1
361,118,1976,1208400322,5.973148,1,1,1.1
396,97,2003,823162923,6.546390,1,1,1.1
389,100,1943,1624431286,6.309183,1,1,1.1
365,108,1991,1604464831,6.039911,1,1,1.1
384,102,1988,631285926,6.497372,1,1,1.1
1042,113,1437,631285926,14.627807,0.9,1,1.5
1085,114,1410,2121139521,16.669570,0.9,1,1.5
1079,102,1416,210116100,15.737477,0.9,1,1.5
1047,112,1424,923729703,17.169945,0.9,1,1.5
1062,103,1408,861677112,16.380680,0.9,1,1.5
1096,100,1417,627244619,17.525206,0.9,1,1.5
1012,110,1443,6470654,15.647320,0.9,1,1.5
1040,114,1428,666535355,17.830904,0.9,1,1.5
1052,112,1427,424231595,18.398782,0.9,1,1.5
1122,132,1380,1994933167,16.444285,0.9,1,1.5
363,102,1972,1994933167,5.410433,1,1,1.5
373,92,1983,1725824877,5.499569,1,1,1.5
394,112,1951,542655946,6.789269,1,1,1.5
377,103,1987,1311152185,6.551755,1,1,1.5
400,94,1969,1591595829,5.885573,1,1,1.5
373,102,1978,1858044513,6.335878,1,1,1.5
390,103,1978,1541425803,8.207276,1,1,1.5
393,102,1970,212383309,8.132669,1,1,1.5
380,92,1985,1600844396,7.406713,1,1,1.5
391,113,1983,1760713451,7.431259,1,1,1.5
1241,61,1435,1760713451,15.120433,0.9,1,2
1253,54,1410,1089251631,17.115385,0.9,1,2
1192,51,1440,1913506619,16.035753,0.9,1,2
1271,52,1437,2042222956,18.423447,0.9,1,2
1260,34,1429,1987584332,17.443885,0.9,1,2
1221,46,1435,322656087,17.377001,0.9,1,2
1245,49,1433,89941008,15.869085,0.9,1,2
1238,57,1429,41559440,16.329204,0.9,1,2
1242,48,1413,417689153,17.017812,0.9,1,2
1218,37,1418,1089365044,15.470585,0.9,1,2
378,81,1999,1089365044,5.219971,1,1,2
394,88,1980,1353865254,5.629355,1,1,2
373,87,1998,482596365,4.862029,1,1,2
379,83,2028,969224894,5.660191,1,1,2
396,81,2004,1839773064,5.843120,1,1,2
370,84,2028,2034291499,5.181300,1,1,2
371,84,2028,1004929977,5.206640,1,1,2
404,86,1999,489453799,5.589429,1,1,2
391,80,2045,2013512123,5.608696,1,1,2
380,84,2011,732915197,4.860614,1,1,2
1226,32,1452,732915197,13.636459,0.9,1,3
1234,32,1468,730068806,17.403842,0.9,1,3
1237,21,1480,1989250160,15.309459,0.9,1,3
1251,29,1452,972767173,15.456361,0.9,1,3
1226,44,1449,1640696073,13.951277,0.9,1,3
1233,41,1452,2115456832,16.190237,0.9,1,3
1277,25,1415,740839964,15.482825,0.9,1,3
1234,28,1461,2135930344,16.853363,0.9,1,3
1201,40,1460,271663457,14.328530,0.9,1,3
1210,31,1475,789357249,15.305599,0.9,1,3
437,26,2080,789357249,5.641443,1,1,3
489,22,2042,1399346854,7.526119,1,1,3
496,29,2045,64152148,7.204511,1,1,3
467,49,2071,22823152,6.726208,1,1,3
490,36,2072,774252341,6.501338,1,1,3
468,28,2083,92999974,6.066850,1,1,3
484,22,2070,1219592039,6.003294,1,1,3
464,36,2041,1721280208,5.989247,1,1,3
471,38,2060,2010385993,6.444625,1,1,3
458,23,2077,614208416,6.115022,1,1,3
1318,241,1791,1282,11.870430,0.9,1,1.1
1352,238,1790,569887179,13.709117,0.9,1,1.1
1355,253,1766,1540726926,13.197169,0.9,1,1.1
1349,214,1777,1982863281,12.475196,0.9,1,1.1
1324,218,1781,625741457,14.056932,0.9,1,1.1
1390,297,1745,1429119740,15.315231,0.9,1,1.1
1345,254,1774,502501115,14.827318,0.9,1,1.1
1367,237,1802,992193872,14.131036,0.9,1,1.1
1315,207,1755,262994635,12.533993,0.9,1,1.1
1349,271,1785,1128707521,14.698348,0.9,1,1.1
587,283,1795,1128707521,7.207223,1,1,1.1
598,307,1798,684387637,7.897723,1,1,1.1
625,268,1810,1071793482,7.317742,1,1,1.1
586,271,1812,696086690,7.208824,1,1,1.1
594,265,1796,73668198,7.227515,1,1,1.1
578,309,1800,1406518712,8.057891,1,1,1.1
577,281,1826,277720949,7.387618,1,1,1.1
615,297,1781,285636589,8.123048,1,1,1.1
590,291,1786,1622698034,7.742365,1,1,1.1
591,278,1800,450811749,8.653757,1,1,1.1
1334,225,1857,450811749,13.986807,0.9,1,1.5
1388,204,1863,1928521408,15.050658,0.9,1,1.5
1341,218,1884,972810805,14.742962,0.9,1,1.5
1317,193,1865,70814691,14.008239,0.9,1,1.5
1355,213,1853,1288087275,15.943856,0.9,1,1.5
1351,219,1852,920557390,15.501051,0.9,1,1.5
1302,217,1899,1036472381,15.115007,0.9,1,1.5
1335,197,1857,1595789356,15.285099,0.9,1,1.5
1333,224,1785,179089360,13.804253,0.9,1,1.5
1307,207,1853,1760554140,14.238126,0.9,1,1.5
631,235,1879,1760554140,7.600522,1,1,1.5
599,259,1861,1755841539,7.653216,1,1,1.5
633,268,1814,1312523336,8.185714,1,1,1.5
627,251,1887,1727899949,8.528760,1,1,1.5
631,247,1871,1740325004,8.623119,1,1,1.5
628,247,1865,1372614058,8.312455,1,1,1.5
616,256,1870,1585762504,8.221456,1,1,1.5
596,267,1865,1596548352,8.346404,1,1,1.5
664,260,1845,1998430500,8.730699,1,1,1.5
569,245,1885,385134740,7.924689,1,1,1.5
1373,150,1983,385134740,13.526906,0.9,1,2
1350,169,2012,736359620,14.022412,0.9,1,2
1395,176,1971,1320841923,14.214742,0.9,1,2
1361,197,1992,71244154,13.583701,0.9,1,2
1328,185,1968,1478186281,13.792783,0.9,1,2
1396,178,1990,909142911,13.803898,0.9,1,2
1347,171,1974,511347980,13.666079,0.9,1,2
1324,186,1973,372064070,14.825383,0.9,1,2
1381,190,1941,878448006,13.364094,0.9,1,2
1374,193,1995,1749381996,14.504642,0.9,1,2
739,143,1978,1749381996,7.847779,1,1,2
722,130,1979,350457598,7.799800,1,1,2
718,153,1981,1092041444,8.293782,1,1,2
769,174,1995,1648746442,8.865216,1,1,2
732,151,2034,589140642,8.612478,1,1,2
718,124,2029,299715455,8.164282,1,1,2
776,138,1990,487953053,9.004820,1,1,2
705,148,2016,845017063,8.294186,1,1,2
735,158,2015,490780615,8.568388,1,1,2
753,129,2044,1030220260,8.658574,1,1,2
1374,123,2190,1030220260,13.615645,0.9,1,3
1353,128,2141,393326529,13.795985,0.9,1,3
1327,147,2170,1694637279,14.143626,0.9,1,3
1375,106,2139,1122193021,14.729675,0.9,1,3
1372,114,2132,1400128406,14.833033,0.9,1,3
1377,111,2164,425792294,14.505733,0.9,1,3
1365,114,2185,72846238,14.430213,0.9,1,3
1350,117,2124,948981101,13.771433,0.9,1,3
1333,131,2125,524195047,14.933135,0.9,1,3
1360,118,2182,354751841,15.107960,0.9,1,3
757,98,2124,354751841,8.540993,1,1,3
759,92,2153,782396608,7.909329,1,1,3
769,126,2188,382706476,8.452911,1,1,3
731,77,2217,1046093076,8.199392,1,1,3
732,79,2216,1882465556,8.002001,1,1,3
756,107,2142,1080056629,7.465033,1,1,3
766,85,2200,630182592,7.876684,1,1,3
735,90,2188,451738148,7.461897,1,1,3
754,103,2177,2132174695,8.345835,1,1,3
744,87,2173,1266523516,8.535703,1,1,3
77,276,2133,1342,2.687747,2,1,1.1
66,299,2103,1095740032,2.453312,2,1,1.1
76,300,2076,2123556114,2.604503,2,1,1.1
82,307,2077,298748242,2.748474,2,1,1.1
78,284,2092,2142006023,2.614103,2,1,1.1
74,311,2070,1931112401,2.770919,2,1,1.1
87,294,2083,1247873552,2.636152,2,1,1.1
70,261,2132,1283195623,2.365536,2,1,1.1
70,287,2105,2084415865,2.450737,2,1,1.1
85,286,2093,1908528390,2.691853,2,1,1.1
68,313,2098,448325121,2.582446,2,1,1.1
69,290,2098,1681598732,2.499188,2,1,1.1
81,284,2103,868323232,2.685625,2,1,1.1
84,269,2121,1016020946,2.751991,2,1,1.1
78,274,2108,24137065,2.687024,2,1,1.1
82,293,2096,759747999,2.725800,2,1,1.1
88,306,2077,439713673,2.622198,2,1,1.1
70,305,2082,1417225826,2.615474,2,1,1.1
71,310,2079,910787896,2.397493,2,1,1.1
72,299,2093,1633505843,2.607407,2,1,1.1
25,362,2110,1633505843,2.045576,3,1,1.1
19,387,2107,1517521238,1.953875,3,1,1.1
14,374,2140,914301477,2.109858,3,1,1.1
19,361,2135,530350867,1.974946,3,1,1.1
12,339,2171,48247501,1.820340,3,1,1.1
23,390,2085,486633816,2.123348,3,1,1.1
13,389,2116,1644504023,2.192977,3,1,1.1
17,375,2124,2119539102,2.085250,3,1,1.1
18,358,2125,1909965157,1.929813,3,1,1.1
16,370,2138,1420182074,2.252727,3,1,1.1
20,389,2110,281839704,2.041319,3,1,1.1
25,402,2095,2136838927,2.372251,3,1,1.1
20,340,2144,525720185,2.099640,3,1,1.1
