recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
38,5,5,1516,0.009097,0.5,1,1
30,7,4,883302028,0.009399,0.5,1,1
38,3,6,732607271,0.008350,0.5,1,1
28,13,4,1173028369,0.008510,0.5,1,1
35,6,3,912499796,0.007107,0.5,1,1
32,5,5,1725713611,0.007338,0.5,1,1
28,5,4,1499451695,0.006823,0.5,1,1
29,12,3,1567940967,0.007688,0.5,1,1
36,4,7,884030498,0.008698,0.5,1,1
27,8,4,185763316,0.006949,0.5,1,1
25,10,5,1917058109,0.006205,0.5,1,1
30,6,6,1786522210,0.007976,0.5,1,1
30,6,7,652587399,0.008448,0.5,1,1
35,3,5,1475442777,0.010140,0.5,1,1
39,8,7,1639364644,0.008585,0.5,1,1
32,7,5,1432759183,0.009746,0.5,1,1
32,5,7,1790811010,0.007517,0.5,1,1
35,5,4,368325368,0.009393,0.5,1,1
32,4,4,714175561,0.008232,0.5,1,1
34,6,9,925358830,0.008582,0.5,1,1
28,5,6,1607010131,0.005822,0.5,1,1
27,4,5,1863333545,0.006578,0.5,1,1
26,8,4,573950559,0.006064,0.5,1,1
28,8,5,350139224,0.007117,0.5,1,1
30,6,3,2044678411,0.007492,0.5,1,1
30,6,4,2044678411,0.006893,0.6,1,1
35,4,6,39097606,0.009677,0.6,1,1
32,5,4,1623478610,0.006295,0.6,1,1
32,8,7,2026987213,0.009914,0.6,1,1
26,6,5,2073582371,0.006140,0.6,1,1
30,9,3,1971406236,0.007765,0.6,1,1
32,7,2,613146834,0.007410,0.6,1,1
27,6,6,246125368,0.007494,0.6,1,1
32,4,4,915060225,0.009112,0.6,1,1
29,7,3,511066189,0.007082,0.6,1,1
33,6,2,1659911446,0.007232,0.6,1,1
31,12,1,2097899005,0.008390,0.6,1,1
31,6,6,593374198,0.006774,0.6,1,1
30,11,4,767510210,0.008355,0.6,1,1
28,9,2,1741770611,0.006557,0.6,1,1
28,6,5,165304820,0.008022,0.6,1,1
26,8,4,1090410848,0.006951,0.6,1,1
34,4,4,767508428,0.008006,0.6,1,1
37,6,5,437172234,0.010006,0.6,1,1
29,5,6,1703781826,0.007899,0.6,1,1
31,10,4,1295259241,0.008162,0.6,1,1
34,8,3,1377756407,0.008796,0.6,1,1
29,13,3,1680883032,0.008224,0.6,1,1
27,8,6,2074551913,0.007354,0.6,1,1
26,11,4,66985560,0.007208,0.6,1,1
