recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
79,14,67,1547,0.049921,0.5,1,1
75,20,63,1378529681,0.048438,0.5,1,1
89,17,61,1575122326,0.049439,0.5,1,1
85,16,63,409024016,0.051014,0.5,1,1
78,24,61,1532742542,0.049563,0.5,1,1
80,19,61,382640631,0.055610,0.5,1,1
87,17,61,1993486650,0.057978,0.5,1,1
70,17,72,2093571847,0.045608,0.5,1,1
76,16,68,484619838,0.049715,0.5,1,1
78,24,62,703635883,0.054734,0.5,1,1
76,20,61,1313286746,0.046211,0.5,1,1
74,17,73,106927424,0.052936,0.5,1,1
82,17,66,543322846,0.058836,0.5,1,1
81,16,62,2091809668,0.051872,0.5,1,1
82,21,64,1938195960,0.047864,0.5,1,1
83,22,61,833315406,0.054859,0.5,1,1
72,22,67,85694186,0.058273,0.5,1,1
80,16,66,497499647,0.061175,0.5,1,1
80,18,63,353573729,0.051348,0.5,1,1
87,28,59,1123750233,0.062614,0.5,1,1
87,19,60,1875543076,0.067171,0.5,1,1
78,16,65,617262053,0.057831,0.5,1,1
88,17,62,1048373537,0.062034,0.5,1,1
78,14,69,1274975840,0.058330,0.5,1,1
88,13,63,879200982,0.060827,0.5,1,1
88,15,62,879200982,0.059007,0.6,1,1
98,15,57,485101090,0.069340,0.6,1,1
88,17,61,864785566,0.065077,0.6,1,1
92,17,57,1995684268,0.057456,0.6,1,1
94,17,61,612850982,0.062136,0.6,1,1
82,24,60,1137811458,0.064994,0.6,1,1
76,16,59,1862663849,0.049375,0.6,1,1
72,20,64,751606964,0.055290,0.6,1,1
79,22,57,2013727138,0.056516,0.6,1,1
82,19,57,2135329367,0.056727,0.6,1,1
84,17,62,1806674933,0.046343,0.6,1,1
86,14,60,523094679,0.059138,0.6,1,1
92,14,61,925911412,0.056907,0.6,1,1
92,20,63,1343712870,0.060206,0.6,1,1
73,11,69,1820016132,0.054083,0.6,1,1
88,42,58,220391850,0.061671,0.6,1,1
