recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
53,0,0,2507876719.000000,0.868584,-1,-1,1,2,50,53,600
46,0,0,2314551496.000000,0.265619,-1,-1,1,2,50,46,600
-46,-1,-2,2249239490.000000,2.824632,3,3.01,1,2,50,999,600
-46,-1,-4,2799703236.000000,3.079078,3,3.01,1,2,50,999,600
-46,-1,-4,2906418899.000000,2.643711,2,2.01,1,2,50,999,600
-46,-1,-5,2974249755.000000,2.873015,2,2.01,1,2,50,999,600
-46,-14,-16,2295906291.000000,5.185723,1.5,1.51,1,2,50,999,600
-46,-4,-11,2131616814.000000,3.104822,1.5,1.51,1,2,50,999,600
-46,-28,-66,2254027781.000000,8.833201,1.1,1.11,1,2,50,999,600
-46,-48,-72,2626462415.000000,14.754357,1.1,1.11,1,2,50,999,600
-46,-45,-105,2023910498.000000,14.883707,1,1.01,1,2,50,999,600
-46,-65,-124,2591086043.000000,16.123375,1,1.01,1,2,50,999,600
-46,-73,-167,2771069046.000000,20.312325,0.9,0.91,1,2,50,999,600
-46,-65,-242,2593546574.000000,20.525943,0.9,0.91,1,2,50,999,600
-23,-364,-237,2573773068.000000,46.832186,0.7,0.71,1,2,50,999,600
0,-462,-139,2297188852.000000,77.736956,0.5,0.51,1,2,50,999,600
0,-486,-115,2736709248.000000,63.299780,0.3,0.31,1,2,50,999,600
0,-496,-105,2319288386.000000,68.883422,0.1,0.11,1,2,50,999,600
0,-529,-72,1895695871.000000,52.086378,0.01,0.02,1,2,50,999,600
0,-541,-60,2513209134.000000,36.753442,1,1.1,-1,-1,50,999,600
44,0,0,2101050523.000000,0.433494,-1,-1,1,2,100,44,600
47,0,0,2440161663.000000,0.322168,-1,-1,1,2,100,999,600
-59,0,-1,2688800197.000000,2.248120,3,3.01,1,2,100,999,600
60,0,0,3075012990.000000,2.413904,3,3.01,1,2,100,999,600
-46,0,-1,1647757871.000000,2.470216,2,2.01,1,2,100,999,600
-44,0,-3,2903319506.000000,2.279402,2,2.01,1,2,100,999,600
43,3,7,2584733502.000000,2.100738,1.5,1.51,1,2,100,999,600
-44,-2,-2,2647885674.000000,2.388948,1.5,1.51,1,2,100,999,600
-43,-21,-29,2838407484.000000,4.682916,1.1,1.11,1,2,100,999,600
-43,-16,-18,2996568530.000000,4.436750,1.1,1.11,1,2,100,999,600
-43,-42,-61,3666848265.000000,10.168306,1,1.01,1,2,100,999,600
-43,-44,-108,3701757150.000000,12.548740,1,1.01,1,2,100,999,600
-43,-127,-214,2858256396.000000,24.287034,0.9,0.91,1,2,100,999,600
-41,-327,-274,2025383527.000000,63.418286,0.9,0.91,1,2,100,999,600
0,-462,-139,2661592159.000000,65.032576,0.7,0.71,1,2,100,999,600
0,-450,-151,3588056477.000000,77.464437,0.5,0.51,1,2,100,999,600
0,-479,-122,2292078986.000000,57.169645,0.3,0.31,1,2,100,999,600
-1,-468,-133,3526687720.000000,24.022009,0.1,0.11,1,2,100,999,600
0,-485,-116,1983076006.000000,58.504346,0.01,0.02,1,2,100,999,600
0,-572,-29,2433384193.000000,33.695031,1,1.1,-1,-1,100,999,600
47,0,0,3509443959.000000,0.212395,-1,-1,1,2,50,47,600
52,0,0,2908174012.000000,0.402997,-1,-1,1,2,50,999,600
-47,-2,-1,1695313544.000000,2.920432,3,3.01,1,2,50,999,600
-47,-1,-2,2531460217.000000,2.883777,3,3.01,1,2,50,999,600
-47,-5,-2,2802381796.000000,2.676368,2,2.01,1,2,50,999,600
-47,-2,-3,3456868308.000000,2.429897,2,2.01,1,2,50,999,600
-47,-6,-10,2172837451.000000,3.039181,1.5,1.51,1,2,50,999,600
-47,-5,-11,3106459467.000000,3.398635,1.5,1.51,1,2,50,999,600
-47,-38,-59,3764302582.000000,11.298836,1.1,1.11,1,2,50,999,600
-47,-13,-60,2113985447.000000,6.821645,1.1,1.11,1,2,50,999,600
-47,-64,-125,2829397878.000000,14.312976,1,1.01,1,2,50,999,600
-47,-52,-74,2269650290.000000,10.413235,1,1.01,1,2,50,999,600
-47,-141,-208,2283371529.000000,28.208114,0.9,0.91,1,2,50,999,600
-47,-122,-208,3295495615.000000,31.406488,0.9,0.91,1,2,50,999,600
-10,-419,-182,1896729202.000000,60.415985,0.7,0.71,1,2,50,999,600
-1,-461,-140,2721143501.000000,88.740546,0.5,0.51,1,2,50,999,600
0,-476,-125,1692220416.000000,52.806375,0.3,0.31,1,2,50,999,600
0,-448,-153,2118552445.000000,63.726049,0.1,0.11,1,2,50,999,600
0,-428,-173,2373603318.000000,47.653719,0.01,0.02,1,2,50,999,600
0,-517,-84,2619877054.000000,35.528229,1,1.1,-1,-1,50,999,600
49,0,0,3682131088.000000,0.386634,-1,-1,1,2,100,49,600
48,0,0,2629355402.000000,0.402745,-1,-1,1,2,100,48,600
56,0,0,3767701592.000000,2.413504,3,3.01,1,2,100,999,600
53,0,0,2258205898.000000,2.360301,3,3.01,1,2,100,999,600
-48,-2,-1,2269817927.000000,2.147094,2,2.01,1,2,100,999,600
49,0,0,3125412953.000000,2.271883,2,2.01,1,2,100,999,600
47,2,3,2907010535.000000,2.198800,1.5,1.51,1,2,100,999,600
-47,-4,-5,2755099624.000000,2.566759,1.5,1.51,1,2,100,999,600
-47,-12,-23,2500003078.000000,3.225966,1.1,1.11,1,2,100,999,600
-47,-26,-39,1959334760.000000,6.065221,1.1,1.11,1,2,100,999,600
-47,-31,-65,2996950505.000000,5.701761,1,1.01,1,2,100,999,600
-47,-75,-95,2900829993.000000,16.628609,1,1.01,1,2,100,999,600
-47,-205,-308,3147286330.000000,40.013601,0.9,0.91,1,2,100,999,600
-32,-276,-325,1938753698.000000,52.892539,0.9,0.91,1,2,100,999,600
0,-510,-91,2689097214.000000,57.808232,0.7,0.71,1,2,100,999,600
0,-507,-94,2171752905.000000,67.828529,0.5,0.51,1,2,100,999,600
0,-516,-85,3416798048.000000,46.874383,0.3,0.31,1,2,100,999,600
0,-538,-63,2376587956.000000,48.147788,0.1,0.11,1,2,100,999,600
0,-507,-95,3587995062.000000,26.516541,0.01,0.02,1,2,100,999,600
0,-556,-45,2777551729.000000,42.611987,1,1.1,-1,-1,100,999,600
