recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
35,0,22,1361,0.003388,0.9,1,1
38,1,22,649116149,0.003419,0.9,1,1
32,1,24,970386876,0.003506,0.9,1,1
31,0,23,337950904,0.004000,0.9,1,1
40,3,21,525890163,0.004163,0.9,1,1
33,2,24,824301126,0.004220,0.9,1,1
39,6,22,1394003039,0.004762,0.9,1,1
30,1,23,131591267,0.003782,0.9,1,1
35,2,22,1815389752,0.003831,0.9,1,1
32,2,24,1384800939,0.003571,0.9,1,1
35,2,22,447527048,0.002908,0.9,1,1
31,1,23,1312570175,0.002874,0.9,1,1
33,0,23,1833726514,0.002637,0.9,1,1
36,0,23,1183109274,0.003302,0.9,1,1
38,2,21,307130863,0.003658,0.9,1,1
0,8,49,307130863,0.003028,1,1,1
0,10,45,1204030344,0.002743,1,1,1
0,9,45,2035629133,0.002824,1,1,1
0,14,44,2091453939,0.003603,1,1,1
0,7,46,1248979466,0.003723,1,1,1
0,7,49,486114306,0.002866,1,1,1
0,12,43,860350967,0.003225,1,1,1
0,8,48,1289506105,0.002594,1,1,1
0,4,48,28094268,0.002124,1,1,1
0,11,45,802429893,0.003480,1,1,1
0,6,48,1020710003,0.001798,1,1,1
0,13,47,1311689438,0.004089,1,1,1
0,8,47,666350614,0.002886,1,1,1
0,9,48,730198193,0.003052,1,1,1
0,7,47,1629139975,0.002289,1,1,1
0,8,47,1629139975,0.002679,1.1,1,1
0,7,50,480151567,0.003734,1.1,1,1
0,7,48,764491338,0.003745,1.1,1,1
0,8,46,1811111602,0.001935,1.1,1,1
0,3,50,622745971,0.001848,1.1,1,1
0,6,49,732341733,0.001993,1.1,1,1
0,5,48,1163840822,0.002367,1.1,1,1
0,5,49,213260709,0.002620,1.1,1,1
0,13,44,148000531,0.003587,1.1,1,1
0,11,45,1458325226,0.003140,1.1,1,1
0,14,41,1645800758,0.003697,1.1,1,1
0,12,47,1243708880,0.002936,1.1,1,1
0,4,50,1344684357,0.001917,1.1,1,1
0,6,48,41215034,0.001919,1.1,1,1
0,7,48,1861388547,0.003902,1.1,1,1
34,1,23,1861388547,0.003546,0.9,1,1.3
40,5,18,1958838270,0.003892,0.9,1,1.3
34,2,22,69137865,0.002949,0.9,1,1.3
34,1,25,772006874,0.003573,0.9,1,1.3
37,2,22,864392310,0.003795,0.9,1,1.3
29,1,25,1757697821,0.003190,0.9,1,1.3
29,0,26,1759234239,0.002606,0.9,1,1.3
32,2,24,1051397908,0.003047,0.9,1,1.3
26,1,26,411828233,0.002869,0.9,1,1.3
30,0,25,686542134,0.002421,0.9,1,1.3
33,1,25,975796173,0.003510,0.9,1,1.3
32,0,23,1626758543,0.003324,0.9,1,1.3
33,2,22,727386755,0.003675,0.9,1,1.3
34,1,22,2008654256,0.003249,0.9,1,1.3
36,1,23,1407950978,0.003255,0.9,1,1.3
4,1,54,1407950978,0.001892,1,1,1.3
2,1,51,1569467702,0.002147,1,1,1.3
3,0,51,1334993362,0.001621,1,1,1.3
1,0,56,933954821,0.002119,1,1,1.3
1,1,51,861907131,0.002950,1,1,1.3
2,1,51,718296274,0.001696,1,1,1.3
4,0,51,571386758,0.001932,1,1,1.3
1,2,51,1202491382,0.001809,1,1,1.3
5,1,52,1290292064,0.001886,1,1,1.3
2,0,55,932941780,0.001978,1,1,1.3
2,0,52,1645885251,0.001600,1,1,1.3
2,1,50,324680923,0.001848,1,1,1.3
2,2,49,44497837,0.003053,1,1,1.3
4,2,50,21836543,0.002062,1,1,1.3
2,0,55,263337458,0.001401,1,1,1.3
2,0,54,263337458,0.001476,1.1,1,1.3
2,2,50,1148168766,0.001803,1.1,1,1.3
1,2,51,1781469198,0.002049,1.1,1,1.3
3,1,50,1776281438,0.002066,1.1,1,1.3
2,2,53,729841062,0.003340,1.1,1,1.3
2,1,52,797023090,0.001443,1.1,1,1.3
1,1,52,1831824289,0.002281,1.1,1,1.3
2,0,54,1613483134,0.001595,1.1,1,1.3
4,1,48,1737537599,0.001745,1.1,1,1.3
3,1,50,401855186,0.001710,1.1,1,1.3
1,1,51,1338865134,0.002040,1.1,1,1.3
0,0,56,1143483782,0.001478,1.1,1,1.3
2,0,51,2070267477,0.001827,1.1,1,1.3
4,3,53,679304226,0.001512,1.1,1,1.3
1,1,50,1405183275,0.002405,1.1,1,1.3
31,1,23,1405183275,0.003360,0.9,1,1.5
35,3,22,2099988150,0.003589,0.9,1,1.5
37,2,21,1804585902,0.004160,0.9,1,1.5
36,3,21,1367508839,0.003575,0.9,1,1.5
39,2,23,2091656813,0.004015,0.9,1,1.5
41,2,18,1304790883,0.003595,0.9,1,1.5
28,0,24,2105009921,0.002523,0.9,1,1.5
36,0,25,1356455779,0.003853,0.9,1,1.5
35,1,25,77925224,0.003544,0.9,1,1.5
39,3,20,1778262851,0.003407,0.9,1,1.5
30,1,25,354722867,0.003283,0.9,1,1.5
33,0,23,1993470776,0.003114,0.9,1,1.5
31,1,24,1156901933,0.003565,0.9,1,1.5
34,3,22,1532493942,0.003658,0.9,1,1.5
27,1,25,484262307,0.003043,0.9,1,1.5
3,1,48,484262307,0.001817,1,1,1.5
2,0,51,158957888,0.002043,1,1,1.5
2,2,52,1215732434,0.002387,1,1,1.5
1,1,52,1231549583,0.001557,1,1,1.5
4,0,53,864115639,0.001982,1,1,1.5
3,0,51,1707423301,0.001888,1,1,1.5
1,0,53,194351359,0.001636,1,1,1.5
2,1,50,87482347,0.002341,1,1,1.5
2,1,51,1644074358,0.001526,1,1,1.5
6,1,51,494334927,0.003486,1,1,1.5
1,0,52,1096747315,0.001922,1,1,1.5
2,2,49,1991945201,0.001896,1,1,1.5
5,2,52,123548364,0.002100,1,1,1.5
2,2,55,609408375,0.002140,1,1,1.5
1,1,52,1896877259,0.001704,1,1,1.5
1,1,51,1896877259,0.001724,1.1,1,1.5
3,1,50,472934347,0.002642,1.1,1,1.5
4,0,53,2030664611,0.002975,1.1,1,1.5
1,0,52,1833574299,0.001380,1.1,1,1.5
6,4,47,1910881456,0.002983,1.1,1,1.5
3,0,51,64713079,0.001325,1.1,1,1.5
2,1,51,514225843,0.001903,1.1,1,1.5
4,1,51,553332760,0.001984,1.1,1,1.5
1,1,50,1024835426,0.001845,1.1,1,1.5
4,3,51,834286896,0.002259,1.1,1,1.5
2,0,52,452549363,0.001507,1.1,1,1.5
2,1,50,270267041,0.001758,1.1,1,1.5
1,1,53,2090170421,0.002078,1.1,1,1.5
2,3,49,1320370728,0.002129,1.1,1,1.5
1,2,50,356200299,0.001670,1.1,1,1.5
47,2,17,356200299,0.004287,0.9,1,2
32,0,23,1911109673,0.002731,0.9,1,2
40,0,24,1948306929,0.003649,0.9,1,2
37,4,22,250376331,0.003952,0.9,1,2
41,2,20,2116464700,0.004083,0.9,1,2
30,0,24,835973348,0.002842,0.9,1,2
32,0,23,384565923,0.002745,0.9,1,2
41,0,21,1719963766,0.003337,0.9,1,2
38,0,21,900538045,0.003184,0.9,1,2
38,3,22,365204079,0.004289,0.9,1,2
42,0,20,615565287,0.003955,0.9,1,2
35,0,25,1852835158,0.002990,0.9,1,2
40,4,20,361993031,0.003996,0.9,1,2
34,0,23,945502744,0.003094,0.9,1,2
48,0,21,264858415,0.003626,0.9,1,2
2,2,52,264858415,0.001850,1,1,2
5,2,52,1785673988,0.001983,1,1,2
2,1,52,112516665,0.001853,1,1,2
4,5,53,390904222,0.002077,1,1,2
3,0,54,1566311929,0.001496,1,1,2
2,0,52,722749059,0.001486,1,1,2
4,0,52,513923279,0.002656,1,1,2
3,1,49,1494542288,0.001621,1,1,2
3,0,51,2132376196,0.001909,1,1,2
4,4,50,937330960,0.002499,1,1,2
2,1,50,757241800,0.001875,1,1,2
2,0,55,202866682,0.001584,1,1,2
3,0,50,145675829,0.001592,1,1,2
3,0,52,196607576,0.001289,1,1,2
4,2,52,1363650302,0.002475,1,1,2
4,1,54,1363650302,0.002026,1.1,1,2
2,1,53,1412743221,0.001997,1.1,1,2
5,0,49,89362702,0.001924,1.1,1,2
7,1,48,633663929,0.002117,1.1,1,2
2,1,51,87285508,0.001577,1.1,1,2
2,1,51,1908869089,0.002132,1.1,1,2
4,1,50,1396949789,0.001484,1.1,1,2
2,0,53,1842004642,0.001662,1.1,1,2
3,1,51,1671240764,0.001846,1.1,1,2
1,2,51,878259808,0.001803,1.1,1,2
2,0,53,1094225628,0.002105,1.1,1,2
3,1,52,736044328,0.001582,1.1,1,2
4,5,49,313295945,0.002100,1.1,1,2
3,3,47,707977961,0.002167,1.1,1,2
1,0,52,463248651,0.001633,1.1,1,2
31,0,24,463248651,0.003136,0.9,1,3
35,0,23,2026730599,0.003478,0.9,1,3
35,0,21,1390241633,0.003035,0.9,1,3
31,0,26,417733358,0.003139,0.9,1,3
36,0,24,840966641,0.003497,0.9,1,3
37,0,22,1078822062,0.003089,0.9,1,3
37,2,21,1875080471,0.003225,0.9,1,3
34,0,22,302178118,0.002735,0.9,1,3
30,0,26,8600239,0.002997,0.9,1,3
34,4,23,1183865768,0.004037,0.9,1,3
33,0,22,1162536815,0.002657,0.9,1,3
36,0,22,95032141,0.003082,0.9,1,3
31,0,25,2100250606,0.003080,0.9,1,3
28,0,26,2115614261,0.003049,0.9,1,3
35,0,24,754368640,0.003642,0.9,1,3
3,0,51,754368640,0.001674,1,1,3
1,0,53,90713480,0.001769,1,1,3
1,0,52,287033872,0.001368,1,1,3
1,0,54,1220542936,0.001902,1,1,3
1,0,56,868761217,0.001470,1,1,3
6,0,58,32964559,0.002178,1,1,3
6,3,54,1238545046,0.003582,1,1,3
1,0,52,53784966,0.002201,1,1,3
2,0,53,443663205,0.001533,1,1,3
2,0,53,547133352,0.001714,1,1,3
3,0,53,997570263,0.001487,1,1,3
7,0,54,1190215542,0.002177,1,1,3
2,0,53,1830211957,0.001459,1,1,3
3,0,53,719159676,0.001943,1,1,3
4,0,50,1554435164,0.002026,1,1,3
4,0,51,1554435164,0.001616,1.1,1,3
1,0,55,716262229,0.001975,1.1,1,3
2,0,54,987556210,0.001744,1.1,1,3
2,0,53,1825478056,0.001339,1.1,1,3
1,0,55,1313975862,0.001584,1.1,1,3
2,0,52,984146606,0.001603,1.1,1,3
0,0,54,2080976299,0.001275,1.1,1,3
6,4,54,1520326916,0.002092,1.1,1,3
1,0,54,120090998,0.002037,1.1,1,3
2,0,51,189677303,0.001852,1.1,1,3
4,0,49,756843704,0.001891,1.1,1,3
4,3,51,2044580991,0.002293,1.1,1,3
1,0,53,243066343,0.001296,1.1,1,3
1,0,54,743138997,0.001480,1.1,1,3
2,0,53,471502755,0.001771,1.1,1,3
68,5,31,1250,0.006171,0.9,1,1
59,8,38,1011156051,0.005811,0.9,1,1
54,8,34,157533945,0.006269,0.9,1,1
65,5,35,1982932620,0.005752,0.9,1,1
75,5,29,369393006,0.006896,0.9,1,1
69,8,35,1202032914,0.007178,0.9,1,1
62,11,33,210514244,0.007093,0.9,1,1
62,10,35,843524316,0.007209,0.9,1,1
68,4,34,687472333,0.005483,0.9,1,1
64,4,38,156304361,0.004842,0.9,1,1
66,5,32,204326563,0.007017,0.9,1,1
65,7,35,525457213,0.006828,0.9,1,1
65,7,36,382427725,0.006975,0.9,1,1
74,11,31,1806127212,0.007640,0.9,1,1
72,6,30,1806306232,0.006961,0.9,1,1
15,7,34,1806306232,0.003804,1,1,1
8,3,41,1175258788,0.003232,1,1,1
14,7,39,200219484,0.003147,1,1,1
9,2,43,2094445720,0.002286,1,1,1
11,3,39,1379062769,0.002457,1,1,1
11,6,40,29909772,0.003330,1,1,1
14,5,38,45427206,0.002855,1,1,1
14,3,37,1348435658,0.002207,1,1,1
8,4,41,540189202,0.002755,1,1,1
15,7,33,574464769,0.003210,1,1,1
8,4,42,494081263,0.003031,1,1,1
16,7,34,878091611,0.003694,1,1,1
10,5,38,242782582,0.002550,1,1,1
10,5,39,60008501,0.002814,1,1,1
13,8,33,847765753,0.003486,1,1,1
13,8,33,847765753,0.003673,1.1,1,1
19,6,33,663471457,0.002984,1.1,1,1
15,12,33,1953393611,0.003509,1.1,1,1
13,6,35,920223883,0.003289,1.1,1,1
15,9,31,357365678,0.004209,1.1,1,1
8,5,40,2029583470,0.003109,1.1,1,1
15,5,36,873264552,0.002519,1.1,1,1
14,4,39,1095254640,0.002672,1.1,1,1
15,8,35,599824288,0.003015,1.1,1,1
18,10,31,769775853,0.004950,1.1,1,1
12,8,36,96221981,0.003875,1.1,1,1
9,7,39,422765288,0.003170,1.1,1,1
15,6,36,1056715499,0.003594,1.1,1,1
14,8,41,356583754,0.003861,1.1,1,1
10,4,42,1545479342,0.003445,1.1,1,1
59,4,40,1545479342,0.005520,0.9,1,1.3
64,13,33,151781712,0.007387,0.9,1,1.3
66,5,29,2007437314,0.005552,0.9,1,1.3
75,3,32,1461688679,0.006485,0.9,1,1.3
70,2,36,277930371,0.005471,0.9,1,1.3
61,2,40,692866882,0.005770,0.9,1,1.3
63,4,36,1084012351,0.006726,0.9,1,1.3
62,6,29,1347493334,0.005230,0.9,1,1.3
63,8,32,356150272,0.006272,0.9,1,1.3
62,6,31,1542559306,0.006790,0.9,1,1.3
59,6,33,788917214,0.004717,0.9,1,1.3
67,3,35,209696172,0.006057,0.9,1,1.3
63,4,38,1928782423,0.006450,0.9,1,1.3
63,3,32,787658910,0.005012,0.9,1,1.3
65,1,34,556255591,0.005548,0.9,1,1.3
9,3,41,556255591,0.003117,1,1,1.3
13,7,35,1815421199,0.003255,1,1,1.3
17,6,35,1566934732,0.003914,1,1,1.3
13,5,38,1069218468,0.002948,1,1,1.3
16,8,37,741120086,0.003713,1,1,1.3
14,3,37,550840537,0.003610,1,1,1.3
8,5,41,905052907,0.002753,1,1,1.3
11,5,39,1576202673,0.003172,1,1,1.3
8,4,40,579156032,0.002545,1,1,1.3
12,4,40,1664723624,0.002772,1,1,1.3
13,3,40,421341193,0.002912,1,1,1.3
10,2,40,1642547554,0.002041,1,1,1.3
14,11,31,1399416397,0.004550,1,1,1.3
19,2,33,1504833057,0.002910,1,1,1.3
9,8,37,2039056353,0.003098,1,1,1.3
9,5,40,2039056353,0.003197,1.1,1,1.3
14,10,35,1606781950,0.003462,1.1,1,1.3
16,9,34,324965163,0.003819,1.1,1,1.3
14,7,37,2047970228,0.004018,1.1,1,1.3
15,4,36,367365516,0.002877,1.1,1,1.3
15,5,36,1655074795,0.003897,1.1,1,1.3
11,6,38,1358961215,0.003395,1.1,1,1.3
6,7,41,12892463,0.002782,1.1,1,1.3
15,2,37,287772267,0.002814,1.1,1,1.3
8,7,42,1036520621,0.003051,1.1,1,1.3
11,7,36,596943773,0.002796,1.1,1,1.3
14,3,39,231308387,0.002462,1.1,1,1.3
8,4,45,470291461,0.002456,1.1,1,1.3
14,7,39,1890932881,0.003485,1.1,1,1.3
8,3,41,175024361,0.002528,1.1,1,1.3
66,1,38,175024361,0.006970,0.9,1,1.5
69,3,37,1370151342,0.005160,0.9,1,1.5
54,1,40,1816773127,0.005145,0.9,1,1.5
55,1,28,1377474129,0.004994,0.9,1,1.5
60,2,35,1917910396,0.005096,0.9,1,1.5
51,8,37,1095813495,0.005160,0.9,1,1.5
67,3,35,1330583136,0.005937,0.9,1,1.5
59,3,39,1321564246,0.005735,0.9,1,1.5
63,6,37,496017363,0.006307,0.9,1,1.5
64,5,39,1435997875,0.005595,0.9,1,1.5
68,4,30,2007803932,0.006483,0.9,1,1.5
59,1,36,912566486,0.004968,0.9,1,1.5
