recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
1339,340,1544,1516866920,30.226123,0.9,1,2
1322,359,1512,1100671195,29.610744,0.9,1,2
1359,347,1561,1139860371,30.714299,0.9,1,2
1316,344,1637,1801056399,30.442258,0.9,1,2
922,313,1511,1801056399,21.565577,1,1,2
938,276,1514,1052591721,22.200914,1,1,2
912,282,1504,1314975951,23.851457,1,1,2
916,289,1482,1531469816,22.900494,1,1,2
906,278,1535,872867876,22.620285,1,1,2
897,257,1561,1316848473,22.976168,1,1,2
879,287,1531,24794798,21.242436,1,1,2
922,321,1474,302646620,22.994980,1,1,2
913,290,1522,1060061365,22.937446,1,1,2
917,297,1483,1423056942,23.610495,1,1,2
1382,220,1776,1423056942,30.592298,0.9,1,3
1345,195,1816,1715560605,29.766652,0.9,1,3
1312,189,1907,2014380304,31.944727,0.9,1,3
1312,209,1795,1505672719,31.496084,0.9,1,3
1335,215,1769,48616339,31.344657,0.9,1,3
1394,202,1763,1863603333,32.357058,0.9,1,3
1314,204,1838,990761328,32.185422,0.9,1,3
1335,222,1789,282966353,31.543594,0.9,1,3
1300,176,1847,2123684421,30.341388,0.9,1,3
1306,219,1798,43996629,32.995733,0.9,1,3
932,156,1800,43996629,22.571911,1,1,3
927,144,1761,62669119,23.184334,1,1,3
897,180,1793,1921789808,24.413339,1,1,3
961,155,1688,1405462554,24.638765,1,1,3
942,180,1701,1249513582,24.360671,1,1,3
900,178,1708,1351423996,24.390019,1,1,3
925,147,1764,1454299808,23.841320,1,1,3
896,166,1785,250196988,23.145739,1,1,3
925,177,1716,1367405166,24.538298,1,1,3
931,146,1805,1606764858,24.716995,1,1,3
230,450,1547,1234,8.932837,2,1,1.1
241,413,1572,20098278,8.621055,2,1,1.1
209,421,1627,445716672,8.648855,2,1,1.1
220,449,1589,101790058,9.858950,2,1,1.1
233,391,1624,431821704,9.936215,2,1,1.1
235,406,1588,445232856,9.512474,2,1,1.1
225,388,1609,99438366,8.739369,2,1,1.1
250,366,1617,582305474,10.393410,2,1,1.1
218,431,1610,1523722074,9.819514,2,1,1.1
233,438,1542,1438933969,9.287603,2,1,1.1
226,418,1577,1838949408,9.326429,2,1,1.1
189,445,1612,1066243396,8.537926,2,1,1.1
220,422,1591,1411142748,9.086783,2,1,1.1
230,439,1568,1706991821,10.760550,2,1,1.1
238,402,1611,1802676817,10.020269,2,1,1.1
212,395,1616,647458778,9.251171,2,1,1.1
252,432,1528,2126546060,9.486332,2,1,1.1
230,418,1585,1247165667,10.298276,2,1,1.1
226,399,1601,1305407834,9.144391,2,1,1.1
202,427,1605,762831173,9.166136,2,1,1.1
71,558,1704,762831173,7.112079,3,1,1.1
80,551,1705,639724153,6.816949,3,1,1.1
70,508,1746,2132324609,7.036064,3,1,1.1
76,578,1711,1613104852,7.186537,3,1,1.1
89,519,1734,1219569237,8.109783,3,1,1.1
83,565,1668,1848691412,7.454103,3,1,1.1
81,529,1732,182832062,6.810231,3,1,1.1
72,595,1694,2065892241,6.963110,3,1,1.1
79,525,1724,815652432,8.005665,3,1,1.1
84,556,1693,366588776,6.864551,3,1,1.1
69,546,1702,1508272345,7.091929,3,1,1.1
66,532,1763,1204241594,7.198501,3,1,1.1
78,580,1684,654589093,7.326072,3,1,1.1
81,554,1733,529437214,8.186161,3,1,1.1
88,583,1682,1415847193,8.026823,3,1,1.1
82,542,1717,1301256215,7.085115,3,1,1.1
76,534,1704,1040532912,7.540716,3,1,1.1
67,553,1733,515730523,7.090531,3,1,1.1
66,550,1748,1024154839,6.838396,3,1,1.1
85,553,1696,304384773,7.404138,3,1,1.1
42,633,1724,304384773,6.126112,4,1,1.1
24,617,1772,2077959921,5.375642,4,1,1.1
30,611,1774,982541720,6.303762,4,1,1.1
35,599,1785,291873693,5.699527,4,1,1.1
35,596,1759,198924287,5.691493,4,1,1.1
34,606,1752,1798803759,5.646550,4,1,1.1
32,599,1779,774859405,5.610879,4,1,1.1
37,642,1710,1130180169,5.566415,4,1,1.1
25,611,1774,817202698,5.568234,4,1,1.1
23,684,1715,542765426,5.267309,4,1,1.1
30,629,1755,541309704,6.181408,4,1,1.1
27,625,1780,2015424808,5.312154,4,1,1.1
32,629,1733,1027877211,5.955765,4,1,1.1
36,623,1738,1398952034,5.876052,4,1,1.1
30,640,1729,1886514313,5.925365,4,1,1.1
29,614,1769,2048975153,5.658301,4,1,1.1
33,608,1742,586060526,6.376348,4,1,1.1
25,607,1779,1990986843,5.405062,4,1,1.1
27,659,1732,1857612298,5.614888,4,1,1.1
23,602,1782,1510451456,5.764617,4,1,1.1
15,641,1772,1510451456,5.035035,5,1,1.1
12,651,1786,1027221320,5.064150,5,1,1.1
15,644,1777,395810014,5.017351,5,1,1.1
13,670,1748,540165934,4.514558,5,1,1.1
9,676,1768,296622365,5.326642,5,1,1.1
6,637,1811,1492711581,4.533553,5,1,1.1
15,634,1804,489938530,5.255932,5,1,1.1
14,711,1737,1645954038,5.278545,5,1,1.1
11,692,1754,44204277,5.342411,5,1,1.1
12,642,1810,1110599142,5.070186,5,1,1.1
9,650,1828,1679758498,4.913660,5,1,1.1
9,673,1783,893204549,4.512003,5,1,1.1
11,686,1766,2139072823,4.805355,5,1,1.1
13,642,1787,1490234121,5.764458,5,1,1.1
10,681,1779,575688354,4.860826,5,1,1.1
8,697,1749,270705195,4.881250,5,1,1.1
9,650,1806,1295740582,5.119115,5,1,1.1
13,698,1735,813065317,5.329656,5,1,1.1
10,637,1827,1650006806,5.111385,5,1,1.1
11,659,1788,793837299,5.476860,5,1,1.1
215,411,1604,793837299,9.690171,2,1,1.3
240,368,1624,2093193858,10.786731,2,1,1.3
215,381,1640,1119174339,9.597856,2,1,1.3
236,432,1563,1399461357,10.693984,2,1,1.3
201,424,1606,1080459677,8.663627,2,1,1.3
200,415,1654,125518741,10.088526,2,1,1.3
226,396,1614,1175966120,9.536357,2,1,1.3
216,410,1625,226543606,10.451428,2,1,1.3
219,406,1602,529361064,9.221736,2,1,1.3
210,398,1638,36339239,9.297128,2,1,1.3
234,434,1580,557884214,9.969051,2,1,1.3
211,385,1649,473436119,9.766677,2,1,1.3
232,396,1608,2138162823,9.575946,2,1,1.3
219,414,1612,852364092,9.372584,2,1,1.3
221,439,1565,2072528533,9.564018,2,1,1.3
229,390,1617,1866132911,10.758087,2,1,1.3
223,386,1638,899476852,9.649146,2,1,1.3
230,402,1613,1281140857,9.722173,2,1,1.3
232,365,1648,1683854716,10.118968,2,1,1.3
228,424,1578,1695984157,10.193180,2,1,1.3
90,557,1659,1695984157,7.374774,3,1,1.3
83,553,1711,1042860248,7.673442,3,1,1.3
83,541,1691,595824162,6.912304,3,1,1.3
86,510,1737,1894066962,7.151429,3,1,1.3
81,516,1734,2056835291,7.321195,3,1,1.3
80,504,1765,776600447,7.668689,3,1,1.3
76,536,1744,323474015,7.625994,3,1,1.3
84,550,1698,427910279,7.599239,3,1,1.3
86,579,1666,741772120,8.191559,3,1,1.3
92,513,1718,138979351,8.119936,3,1,1.3
93,508,1742,205949055,7.674591,3,1,1.3
85,502,1752,1648286661,8.065601,3,1,1.3
73,598,1676,738009580,7.439185,3,1,1.3
85,523,1721,1592779762,7.478153,3,1,1.3
78,532,1745,2056783780,7.231868,3,1,1.3
98,536,1692,1776659078,8.308380,3,1,1.3
80,570,1672,87197066,6.828475,3,1,1.3
84,544,1709,1061476994,7.259083,3,1,1.3
83,570,1669,977027846,7.417915,3,1,1.3
75,568,1703,311518218,7.111465,3,1,1.3
28,617,1780,311518218,5.522413,4,1,1.3
33,575,1799,1864676261,5.598263,4,1,1.3
46,543,1802,778838399,6.479174,4,1,1.3
31,542,1864,1472915743,6.199140,4,1,1.3
38,563,1785,1443045910,6.258943,4,1,1.3
38,642,1731,748758969,6.188594,4,1,1.3
37,583,1786,969025055,6.320463,4,1,1.3
30,585,1792,6993128,6.070175,4,1,1.3
46,594,1732,1244319171,5.843483,4,1,1.3
33,599,1768,1000113539,5.332245,4,1,1.3
42,637,1712,1141778408,6.379648,4,1,1.3
35,604,1758,1810397186,5.834499,4,1,1.3
31,601,1771,1801693127,5.810455,4,1,1.3
38,591,1784,219479925,6.166784,4,1,1.3
38,543,1809,343242885,5.457449,4,1,1.3
32,617,1762,596443383,6.150438,4,1,1.3
37,592,1764,1736195856,6.041019,4,1,1.3
38,539,1806,1268802442,5.745920,4,1,1.3
40,591,1757,1982398785,5.883117,4,1,1.3
34,588,1784,1076222839,5.671398,4,1,1.3
23,623,1788,1076222839,4.908867,5,1,1.3
13,623,1841,862724311,5.314156,5,1,1.3
18,671,1762,843689154,5.476125,5,1,1.3
19,609,1796,894568156,4.828710,5,1,1.3
13,649,1804,1986353857,5.131710,5,1,1.3
18,630,1803,264354532,5.063443,5,1,1.3
14,639,1813,2132559541,5.254076,5,1,1.3
24,637,1757,841314187,5.478703,5,1,1.3
21,632,1773,1021598367,5.442458,5,1,1.3
17,647,1758,1566253537,5.468638,5,1,1.3
17,617,1819,571534893,4.698562,5,1,1.3
13,652,1763,292733647,5.170392,5,1,1.3
19,601,1865,1866776482,5.418861,5,1,1.3
17,659,1777,280396919,5.046707,5,1,1.3
14,614,1818,924481118,5.260078,5,1,1.3
17,595,1855,1838518138,5.184432,5,1,1.3
22,571,1822,1858663156,5.087573,5,1,1.3
22,595,1835,290708593,5.322018,5,1,1.3
17,634,1795,1647711395,5.004663,5,1,1.3
21,607,1797,1674855095,5.112030,5,1,1.3
247,342,1642,1674855095,8.799419,2,1,1.5
250,403,1589,76751051,11.263869,2,1,1.5
230,382,1624,1278138648,9.399585,2,1,1.5
238,394,1606,1011793150,9.484046,2,1,1.5
243,363,1630,1193791292,9.589141,2,1,1.5
238,378,1652,1877353973,9.334062,2,1,1.5
239,366,1648,1415282411,9.295338,2,1,1.5
238,361,1663,136658265,9.813020,2,1,1.5
226,382,1638,392772167,9.447150,2,1,1.5
239,372,1631,202923961,9.374036,2,1,1.5
229,389,1651,197183750,9.661247,2,1,1.5
244,369,1615,1905146007,9.566159,2,1,1.5
242,365,1624,617334558,9.732321,2,1,1.5
249,379,1612,77472368,9.668300,2,1,1.5
258,358,1613,1550785964,9.682080,2,1,1.5
237,360,1674,1430897583,10.154537,2,1,1.5
228,394,1634,1006194162,9.886169,2,1,1.5
238,337,1661,2041538268,9.360731,2,1,1.5
242,376,1601,106314551,9.538644,2,1,1.5
224,379,1638,515397701,10.080885,2,1,1.5
97,480,1751,515397701,7.571966,3,1,1.5
90,445,1804,1679952504,6.938893,3,1,1.5
99,519,1721,795467777,7.190686,3,1,1.5
95,512,1733,1073627923,7.782505,3,1,1.5
90,525,1715,607362599,7.909256,3,1,1.5
91,483,1775,852049111,7.567023,3,1,1.5
93,501,1757,1187122817,7.367637,3,1,1.5
94,492,1734,2132164181,7.107428,3,1,1.5
88,444,1802,2140167781,7.336819,3,1,1.5
93,478,1780,2050776638,7.723616,3,1,1.5
105,529,1710,296274301,7.976111,3,1,1.5
94,498,1746,989157355,7.080800,3,1,1.5
95,443,1802,487993668,7.197217,3,1,1.5
82,524,1751,1358710870,7.409440,3,1,1.5
88,502,1748,91264156,7.201306,3,1,1.5
90,499,1751,1253553242,7.878026,3,1,1.5
92,459,1786,1805193852,7.258142,3,1,1.5
95,499,1696,1487321643,6.932980,3,1,1.5
101,467,1769,446482153,7.612218,3,1,1.5
93,508,1754,1672296476,7.760318,3,1,1.5
42,525,1868,1672296476,6.207726,4,1,1.5
41,537,1848,1116682825,5.666522,4,1,1.5
51,491,1851,1256783867,5.874808,4,1,1.5
39,588,1762,832270483,6.077507,4,1,1.5
47,541,1829,322283603,6.135020,4,1,1.5
46,554,1801,1351146347,6.210648,4,1,1.5
40,554,1833,1944378065,5.910096,4,1,1.5
47,500,1867,1905226018,6.267798,4,1,1.5
34,527,1857,1951107808,5.561062,4,1,1.5
34,573,1792,1764209129,5.499313,4,1,1.5
36,573,1793,2124043961,6.113489,4,1,1.5
37,554,1815,1100832553,5.899682,4,1,1.5
48,571,1768,1734809629,6.144999,4,1,1.5
57,565,1760,1472544558,6.382324,4,1,1.5
39,538,1836,995096497,5.878128,4,1,1.5
45,531,1828,1297707187,5.447153,4,1,1.5
39,572,1794,1403997112,6.285058,4,1,1.5
45,545,1819,1216349336,6.304678,4,1,1.5
38,579,1770,2035551585,5.582360,4,1,1.5
49,529,1817,33272480,6.126400,4,1,1.5
16,556,1888,33272480,4.972417,5,1,1.5
16,574,1848,1783144442,4.858703,5,1,1.5
15,581,1873,624089971,5.078127,5,1,1.5
18,552,1881,651342863,5.667377,5,1,1.5
23,584,1839,2026487773,5.453770,5,1,1.5
19,608,1816,850844101,4.957902,5,1,1.5
18,596,1858,2065335589,5.379678,5,1,1.5
18,633,1783,894049482,4.887245,5,1,1.5
19,579,1878,465783333,5.444650,5,1,1.5
12,539,1929,1778009571,5.107829,5,1,1.5
23,553,1866,941913960,5.302099,5,1,1.5
18,582,1871,1440188473,5.163234,5,1,1.5
15,587,1881,1407326559,5.337105,5,1,1.5
15,541,1909,277840706,5.307418,5,1,1.5
21,555,1851,494916610,5.184506,5,1,1.5
18,557,1893,1096144437,5.233592,5,1,1.5
15,548,1877,1129752635,4.779621,5,1,1.5
22,573,1843,828404979,5.138994,5,1,1.5
19,597,1836,1809738966,5.523551,5,1,1.5
21,596,1813,838931384,4.877388,5,1,1.5
259,273,1760,838931384,8.443016,2,1,2
249,268,1774,1428331154,9.270351,2,1,2
253,263,1761,736502665,9.173850,2,1,2
265,291,1694,2072551112,9.503041,2,1,2
245,228,1839,714877952,9.723313,2,1,2
262,275,1719,1070248937,9.594377,2,1,2
242,266,1782,2083285613,8.917281,2,1,2
247,253,1801,109515609,9.281115,2,1,2
234,287,1787,2097476448,9.155130,2,1,2
242,253,1807,715479539,9.309402,2,1,2
273,268,1747,1242711263,9.896453,2,1,2
266,263,1766,955510152,10.100119,2,1,2
250,247,1825,1070046442,9.129906,2,1,2
276,289,1693,2089138728,9.943864,2,1,2
252,255,1789,1983853070,9.687984,2,1,2
249,280,1758,2006181750,9.420389,2,1,2
268,228,1810,788264869,10.189934,2,1,2
243,282,1770,315793461,9.534271,2,1,2
263,267,1746,1611415547,9.698988,2,1,2
254,270,1775,136053782,9.703297,2,1,2
128,356,1882,136053782,7.249668,3,1,2
116,346,1930,1649004274,7.192123,3,1,2
121,309,1956,101853460,7.560832,3,1,2
125,321,1923,2051799510,7.657026,3,1,2
132,320,1904,1055494916,7.701889,3,1,2
125,344,1903,1831408485,7.636360,3,1,2
126,335,1930,44584523,7.500814,3,1,2
117,341,1930,1606698528,7.472945,3,1,2
119,352,1901,368019264,7.090304,3,1,2
138,319,1957,212085887,8.294442,3,1,2
120,280,2005,284257165,7.014325,3,1,2
120,335,1946,629918646,7.282518,3,1,2
117,322,1959,458008858,6.819199,3,1,2
118,329,1909,1387596973,7.284105,3,1,2
119,326,1950,1924549724,7.758644,3,1,2
