sampleA50,4,9,4.0,4.166666666666667,8,4.5,5,9,4.5
sampleA100,6.695238095238095,15,7.0,4.761904761904762,9,5,4.545454545454546,11,3.0
sampleA200,7.013937282229965,17,7,5.404761904761905,10,6.0,5.82051282051282,26,2
sampleA500,7.32824427480916,17,7,5.015267175572519,9,5,6.77319587628866,70,2
sampleA1000,7.534763793725207,19,7.0,5.504237288135593,10,6.0,7.380681818181818,148,2.0
sampleAall,7.994295382404025,25,8.0,5.688559322033898,13,6.0,9.43208430913349,879,2.0
sampleB25,18.91699604743083,45,22,18.304347826086957,31,23,7.135593220338983,22,3
sampleB50,25.485661424606846,65,24,22.638297872340427,39,27,9.333333333333334,45,5.0
sampleB100,26.365362617250057,69,27,23.414893617021278,42,29.0,10.285046728971963,89,3.0
sampleB200,26.989305434466726,69,27,24.28494623655914,43,29.0,14.027950310559007,179,3.0
sampleB500,32.09604263824117,82,31,27.054736842105264,48,30,15.904702970297029,458,3.0
sampleB1000,31.99027016087342,82,32,26.89203354297694,54,30.0,18.470122390208783,927,3
sampleBall,31.455268309471666,82,32.0,26.81827209533267,52,30,26.16860465116279,2931,3.0
sampleC25,20.19047619047619,38,29,32.733333333333334,38,35,9.092592592592593,14,8.0
sampleC50,22.85185185185185,48,34.0,41.785714285714285,48,43.5,16.956521739130434,27,15
sampleC100,22.42600422832981,52,34.0,45.75,52,47.5,26.486842105263158,43,25.0
sampleC200,23.54969696969697,55,23.0,48.53,55,51.0,46.21904761904762,99,50
sampleC500,22.037065188232138,58,17.0,51.533018867924525,58,53.0,81.52985074626865,211,62.5
sampleC1000,23.00356229448301,64,13.0,54.15561224489796,63,57.0,102.0625,391,5.0
sampleCall,24.529227889861694,64,18.0,51.76745495495496,61,55.0,156.8924914675768,1775,3.0
